Metric,Target,Simulated,Error%,Tolerance%,Within_Tolerance
p_elcs_fac,0.066,0.06525009823492446,-1.1362147955690027,5,True
p_elcs_preterm_l45,0.265,0.2617956168048228,-1.2092012057272605,10,True
p_preterm_l23,0.035,0.03623362544019296,3.52464411483701,5,True
p_preterm_l45,0.209,0.1989638977197732,-4.801962813505648,5,True
p_cs_l23,0.024,0.023049814946833284,-3.9591043881946533,5,True
p_cs_l45,0.264,0.2764384383113463,4.711529663388742,5,True
p_l23_post,0.27,0.2630410392677886,-2.577392863782006,5,True
p_l45_post,0.38,0.3912370829642752,2.9571270958618867,5,True
p_mcr_l23_l45,0.2,0.18013930056523914,-9.930349717380437,10,True
p_SMO_fac,0.0375,0.03551463609496584,-5.294303746757748,10,True
p_pph_l45,0.086,0.08472716721014881,-1.4800381277339374,5,True
p_mat_sepsis_l45,0.15,0.14786731064462297,-1.4217929035846844,5,True
p_eclampsia_fac,0.02,0.0204429623860949,2.2148119304745033,5,True
p_obstructed_fac,0.045,0.04524564842340036,0.5458853853341433,5,True
