parameter_n,value,ci_lower,ci_upper
1st_stage_time_abnormal__0,468.0,,
1st_stage_time_abnormal__1,167.0,,
1st_stage_time_normal__0,278.0,,
1st_stage_time_normal__1,80.0,,
2nd_stage_time_abnormal__0,86.0,,
2nd_stage_time_abnormal__1,49.0,,
2nd_stage_time_normal__0,37.26,,
2nd_stage_time_normal__1,14.0,,
Ave_LBs_thres,167.0,,
CS_AVD_ratio,0.9857010998486817,,
Capacity,2898.0833333333335,,
Childbearing_age,28.6,,
DW.anemia,0.05611465445914175,,
DW.asphyxia,0.549,,
DW.eclampsia,0.6391082002304354,,
DW.high pph,0.3216904701391123,,
DW.low pph,0.11077134129316997,,
DW.maternal death,1.0,,
DW.maternal sepsis,0.11611249081430833,,
DW.neonatal death,1.0,,
DW.neonatal sepsis,0.459,,
DW.obstructed labor,0.2982214716878349,,
DW.preterm comp,0.388,,
D_IVH,0.11,,
D_NEC,0.212,,
D_RDS__0,0.397,,
D_RDS__1,0.2,,
D_Sepsis,0.325,,
D_asphyxia,0.239,,
E_GA_US__0,0.057,,
E_GA_US__1,0.729,,
E_MgSO4,0.3606544589342584,,
E_Postterm_LMP__0,0.029611840175170132,,
E_Postterm_LMP__1,0.10533348534922675,,
E_Preterm_LMP__0,0.643684719312658,,
E_Preterm_LMP__1,0.0385208503659826,,
E_antibiotics,0.8076380534845675,,
E_iv_iron,0.37948179970701323,,
E_oxytocin,0.9237517686037139,,
E_pph_bundle,0.5152839955528455,,
E_stillbirth_CS,0.55,,
GA_anc__0,0.00284327,,
GA_anc__1,0.00160964,,
GA_anc__10,0.11102357,,
GA_anc__11,0.15876878,,
GA_anc__12,0.21491917,,
GA_anc__13,0.18857196,,
GA_anc__14,0.11256843,,
GA_anc__15,0.05834325,,
GA_anc__16,0.02872319,,
GA_anc__17,0.01586185,,
GA_anc__2,0.00219684,,
GA_anc__3,0.00326822,,
GA_anc__4,0.00439625,,
GA_anc__5,0.00638448,,
GA_anc__6,0.00923033,,
GA_anc__7,0.01491172,,
GA_anc__8,0.02603499,,
GA_anc__9,0.04034406,,
GA_distribution__0,1104.0,,
GA_distribution__1,625.0,,
GA_distribution__10,23644.0,,
GA_distribution__11,33812.0,,
GA_distribution__12,45770.0,,
GA_distribution__13,40159.0,,
