         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   609804    3.293    0.000    4.049    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
  2123331    0.623    0.000    0.625    0.000 {method 'binomial' of 'numpy.random.mtrand.RandomState' objects}
       36    0.557    0.015    1.803    0.050 mortality.py:89(f_MM)
  1219572    0.259    0.000    0.293    0.000 getlimits.py:476(__new__)
     1476    0.256    0.000    0.256    0.000 {method 'at' of 'numpy.ufunc' objects}
   609840    0.216    0.000    0.462    0.000 numerictypes.py:356(issubdtype)
  1219680    0.165    0.000    0.228    0.000 numerictypes.py:282(issubclass_)
   203328    0.123    0.000    0.123    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
   203364    0.103    0.000    0.103    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
   410783    0.090    0.000    0.367    0.000 fromnumeric.py:51(_wrapfunc)
423071/414461    0.088    0.000    0.559    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1829966    0.081    0.000    0.081    0.000 {built-in method builtins.issubclass}
       36    0.073    0.002    4.581    0.127 intrapartum.py:210(intrapartum_effect)
       36    0.054    0.002    1.375    0.038 intrapartum.py:406(<listcomp>)
       36    0.054    0.001    1.407    0.039 intrapartum.py:407(<listcomp>)
       36    0.053    0.001    1.412    0.039 intrapartum.py:408(<listcomp>)
   203364    0.050    0.000    0.301    0.000 <__array_function__ internals>:177(searchsorted)
   203328    0.047    0.000    0.318    0.000 <__array_function__ internals>:177(cumsum)
   203328    0.044    0.000    0.222    0.000 fromnumeric.py:2523(cumsum)
   203364    0.043    0.000    0.201    0.000 fromnumeric.py:1345(searchsorted)
   204228    0.043    0.000    0.043    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
  1221012    0.035    0.000    0.035    0.000 {method 'get' of 'dict' objects}
   444299    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
   203364    0.012    0.000    0.012    0.000 fromnumeric.py:1341(_searchsorted_dispatcher)
   203328    0.012    0.000    0.012    0.000 fromnumeric.py:2519(_cumsum_dispatcher)
159349/159344    0.011    0.000    0.021    0.000 {built-in method builtins.isinstance}
     2305    0.009    0.000    0.079    0.000 indexing.py:1658(_setitem_with_indexer)
       36    0.009    0.000    0.220    0.006 intrapartum.py:440(update_outcomes_vectorized)
     7962    0.008    0.000    0.017    0.000 _methods.py:93(_clip_dep_is_scalar_nan)
       72    0.007    0.000    0.007    0.000 arraysetops.py:524(in1d)
     2305    0.007    0.000    0.043    0.000 indexing.py:2036(_setitem_single_block)
        1    0.006    0.006    6.645    6.645 model_run.py:9(run_model_dash)
       36    0.005    0.000    0.093    0.003 LB_effect.py:29(f_ANC_LB_effect)
     2305    0.005    0.000    0.120    0.000 indexing.py:806(__setitem__)
     2305    0.005    0.000    0.025    0.000 indexing.py:672(_get_setitem_indexer)
    30390    0.005    0.000    0.010    0.000 generic.py:45(_instancecheck)
     8354    0.005    0.000    0.012    0.000 indexing.py:2656(check_deprecated_indexers)
     3981    0.004    0.000    0.004    0.000 _methods.py:108(_clip_dep_invoke_with_casting)
    30390    0.004    0.000    0.005    0.000 generic.py:40(_check)
     3981    0.004    0.000    0.027    0.000 _methods.py:127(_clip)
     2305    0.004    0.000    0.010    0.000 blocks.py:941(setitem)
     4609    0.003    0.000    0.009    0.000 indexing.py:1333(_convert_to_indexer)
