scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,0.07253567562247809,0.1407676409802185,0.1264462159236296,0.11116966833973034,0.029597972640488135,-0.012576518059246145,0.19557786763727986,-0.05393387574938241,-0.14164399188789745,0.011237082964275176,0.0,0.0059984253518354505,0.01662434799724436,0.01279007971656333,0.06833732729279368,0.0,0.2521627470243455,0.1651698589953213,0.0,-0.0011755732703474103,-0.016335006397008175,-0.00391201653380573,-0.0019368172423974012,-9.447888987304184e-05,-0.0002780238165534868,-0.0016533805727782687,-55.3095167798445,-29.143427771774085,-4.303710264737724
mentors_high,MENTORS,high,overall_no_flags,0.17248105501427025,0.3255122527310304,0.28648066135222916,0.25530656431453597,0.07020568841649444,-0.034861234130498964,0.2048981381584153,-0.06327755503917881,-0.1416205831192366,0.028632516484597977,0.0,0.007781222320637733,0.021792146442279302,0.022763999606337952,0.1544504148806059,0.0,0.3494649492219444,0.21330049907151513,0.0,0.0003129613227044539,-0.019708198012006697,-0.005708099596496409,-0.004412951481153428,-0.00021011711445724154,-0.00017517960830626747,-0.002403306761145557,-93.74077354591084,-33.182390724579406,-7.30587540596398
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,0.11121543155201252,0.15020618049404583,0.13791801987993302,0.0968167503198504,0.05338943017419545,-0.010245054620608207,0.19591663193186054,-0.054215664579726874,-0.14170096735213372,0.007117409703769319,0.0,0.0062838303316602685,0.017471213463241805,0.012710855230784373,0.016319173801981723,0.0,0.264406090216425,0.1718938182839431,0.0,-0.0008296427516976679,-0.01655594921759669,-0.004037988386969789,-0.0020027556342879574,-5.904930617065332e-05,-0.00029524653085326313,-0.0017109536462946578,-57.57307351638619,-28.384731052524963,-4.860249975396123
prompts_high,PROMPTS,high,overall_no_flags,0.21842928845586063,0.3401687826001378,0.3024362759570909,0.23922399370140734,0.10094478889873049,-0.03296132270445823,0.20620721430928968,-0.06448767908104414,-0.14171953522824549,0.012134632418069093,0.0,0.008349571892530262,0.023316602696584983,0.022307843716169666,0.014858949734489368,0.0,0.3651000132030714,0.2205390652131685,0.0,0.0013610865072335374,-0.018973526227733503,-0.005590000984155106,-0.004522192697569136,-0.00010973329396712916,-0.0001850211593347091,-0.002290128924318475,-102.99183151264639,-32.98573394672202,-7.862907194173802
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.477905717941155,-2.5793191696756708,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.300265721877764,-4.833304779474361,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.09163826360928201,-0.02227000131026946,-0.0693682622990126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.312764491683879,-3.5457833446466225,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.18385742343785155,-0.043229543086152344,-0.14062788035169926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.035035921661233,-6.178153709192074,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,-0.001495915756323185,0.0,0.0,-0.0014339139848440208,0.0017843190765927108,-0.0015331429188645274,-0.0002511761577282112,0.0,0.0,0.00013089262867827921,-0.0019963586261194793,0.0,0.0,0.0,0.005105463865245019,-0.0021885022765472384,0.0,0.0,-0.008219171341403403,-1.6238559196930097e-05,0.0,0.0,0.0,-0.0002691664206278914,4.871567759078857,0.8787344532258459,-0.18452908178329075
pulse_high,PULSE,high,overall_no_flags,0.0,0.0,-0.0024574352918019793,0.0,0.0,-0.0025765180592461356,0.0026224865062522418,-0.0013679067315851556,-0.001254579774667114,0.0,0.0,0.0001924023226060412,-0.0033938588721582515,0.0,0.0,0.0,0.007400435964549867,0.001741618236895004,0.0,0.0,-0.016765082176951093,-4.4779057179412246e-05,0.0,0.0,0.0,-0.0010072827477610458,-0.04920775514221987,-0.26756207660886844,-0.06101761637634162
fqa_pulse_base,FQA + PULSE,base,overall_no_flags,0.0,0.0,-0.0027964767247318223,0.0,0.0,-0.0028820982186792687,0.00140276251699617,-0.0011419356659326252,-0.0002608268510635725,0.03084981793130597,0.017498769806121445,0.0015776006298592648,0.015785355772069673,0.002261096348784566,0.3030048985915723,0.4226406042924088,0.0724016770007252,0.18487943243068009,0.0,-0.010520125971853173,-0.023904143292982974,-0.0015962995768133079,-0.000246038775711048,0.0,0.0,-0.003014959157563231,-10.825706131286296,-15.377114621810854,-0.09497096742446764
