scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,-0.11755732703474103,-1.6335006397008176,-0.39120165338057294,-0.19368172423974012,-0.16533805727782686,-55.3095167798445,-4.303710264737724
mentors_high,MENTORS,high,0.03129613227044539,-1.9708198012006697,-0.5708099596496409,-0.44129514811534276,-0.24033067611455572,-93.74077354591084,-7.30587540596398
prompts_base,PROMPTS,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,-0.08296427516976679,-1.655594921759669,-0.40379883869697886,-0.20027556342879574,-0.17109536462946578,-57.57307351638619,-4.860249975396123
prompts_high,PROMPTS,high,0.13610865072335374,-1.8973526227733504,-0.5590000984155106,-0.45221926975691357,-0.22901289243184747,-102.99183151264639,-7.862907194173802
blood_base,Blood,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,0.0,0.0,0.0,0.0,0.0,-4.477905717941155,0.0
blood_high,Blood,high,0.0,0.0,0.0,0.0,0.0,-9.300265721877764,0.0
referral_base,Referral,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,0.0,0.0,0.0,0.0,0.0,-2.312764491683879,0.0
referral_high,Referral,high,0.0,0.0,0.0,0.0,0.0,-4.035035921661233,0.0
pulse_base,PULSE,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,0.0,-0.8219171341403403,-0.0016238559196930097,0.0,-0.02691664206278914,4.871567759078857,-0.18452908178329075
pulse_high,PULSE,high,0.0,-1.6765082176951094,-0.004477905717941225,0.0,-0.10072827477610458,-0.04920775514221987,-0.06101761637634162
fqa_pulse_base,FQA + PULSE,base,-1.0520125971853171,-2.3904143292982973,-0.1596299576813308,-0.0246038775711048,-0.30149591575632306,-10.825706131286296,-0.09497096742446764
fqa_pulse_current,FQA + PULSE,current,-1.1126857592756618,-2.7176951087491394,-0.18738313158153733,-0.03538037594724916,-0.32521405373486834,-7.282747761047148,-0.10087589804153119
fqa_pulse_high,FQA + PULSE,high,-1.1126857592756618,-2.7176951087491394,-0.18738313158153733,-0.03538037594724916,-0.32521405373486834,-7.282747761047148,-0.10087589804153119
