scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,192.00866056490503,14.971951579568941
mentors_current,MENTORS,current,4.181675031985041,8.181773447495324,1.9552209428205884,4.5691861037299475,2.4461175081192796,136.69914378506053,10.668241314831217
mentors_high,MENTORS,high,4.330528491290227,7.8444542859954725,1.7756126365515206,4.321572679854345,2.3711248892825507,98.26788701899419,7.666076173604961
prompts_base,PROMPTS,base,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,192.00866056490503,14.971951579568941
prompts_current,PROMPTS,current,4.216268083850015,8.159679165436472,1.9426237575041825,4.562592264540892,2.440360200767641,134.43558704851884,10.111701604172818
prompts_high,PROMPTS,high,4.435341009743135,7.9179214644227915,1.7874224977856508,4.310648558212774,2.3824426729652592,89.01682905225864,7.109044385395139
blood_base,Blood,base,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,192.00866056490503,14.971951579568941
blood_current,Blood,current,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,187.53075484696387,14.971951579568941
blood_high,Blood,high,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,182.70839484302726,14.971951579568941
referral_base,Referral,base,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,192.00866056490503,14.971951579568941
referral_current,Referral,current,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,189.69589607322115,14.971951579568941
referral_high,Referral,high,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,187.9736246432438,14.971951579568941
pulse_base,PULSE,base,4.299232359019782,9.815274087196142,2.3464225962011613,4.762867827969687,2.6114555653971068,192.00866056490503,14.971951579568941
pulse_current,PULSE,current,4.299232359019782,8.993356953055802,2.3447987402814685,4.762867827969687,2.5845389233343177,196.88022832398389,14.78742249778565
pulse_high,PULSE,high,4.299232359019782,8.138765869501032,2.34194469048322,4.762867827969687,2.510727290621002,191.9594528097628,14.9109339631926
fqa_pulse_base,FQA + PULSE,base,3.2472197618344647,7.424859757897845,2.186792638519831,4.738263950398583,2.3099596496407835,181.18295443361873,14.876980612144473
fqa_pulse_current,FQA + PULSE,current,3.18654659974412,7.097578978447003,2.159039464619624,4.727487452022439,2.2862415116622383,184.72591280385788,14.87107568152741
fqa_pulse_high,FQA + PULSE,high,3.18654659974412,7.097578978447003,2.159039464619624,4.727487452022439,2.2862415116622383,184.72591280385788,14.87107568152741
