scenario,intervention,level,anc,initial_l45,final_l45,free_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
mentors_current,MENTORS,current,62.70869008955812,39.96821179017813,51.25371518551324,11.116966833973034,11.836088967621297,49.3184157618418,41.13707121139352,9.544513026764687,31.896633600251228,0.0,51.41755191723304,35.11537820688183,0.0
mentors_high,MENTORS,high,72.70322802873733,58.44267296525933,67.2571597283732,25.530656431453597,9.607617360496015,50.250442813955345,40.20270328241388,9.546853903630772,40.50794235903245,0.0,61.14777213699293,39.92844221450122,0.0
prompts_base,PROMPTS,base,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
prompts_current,PROMPTS,current,66.57666568251156,40.912065741560866,52.40089558114358,9.68167503198504,12.069235311485091,49.35229219129987,41.10889232835907,9.538815480341059,26.694818251170034,0.0,52.641886236440996,35.78777413574401,0.0
prompts_high,PROMPTS,high,77.29805137289637,59.90832595217006,68.85272118885936,23.922399370140734,9.797608503100088,50.38135042904278,40.08169087822734,9.536958692729884,26.5487958444208,0.0,62.71127853510563,40.65229882866655,0.0
blood_base,Blood,base,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
blood_current,Blood,current,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
blood_high,Blood,high,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
referral_base,Referral,base,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
referral_current,Referral,current,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,38.924455359042014,44.30345865530481,16.77208598565317,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
referral_high,Referral,high,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,48.14637134189897,42.207504477716526,9.646124180384504,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
pulse_base,PULSE,base,55.45512252731031,25.891447692156284,38.60909359315028,0.0,13.093740773545912,29.760628998113813,46.53045878633176,23.70891221555443,25.06290087097186,0.0,26.20127721479849,18.5983923073497,0.0
pulse_current,PULSE,current,55.45512252731031,25.891447692156284,38.45950201751796,0.0,12.95034937506151,29.939060905773086,46.377144494445304,23.68379459978161,25.06290087097186,0.0,26.711823601322994,18.37954207969498,0.0
pulse_high,PULSE,high,55.45512252731031,25.891447692156284,38.36335006397008,0.0,12.836088967621299,30.022877648739037,46.39366811317324,23.583454238087718,25.06290087097186,0.0,26.941320811253476,18.7725541310392,0.0
fqa_pulse_base,FQA + PULSE,base,55.45512252731031,25.891447692156284,38.329445920677095,0.0,12.805530951677985,29.90090524981343,46.41626521973849,23.682829530448075,55.36339073012909,42.26406042924088,33.44144491487101,37.08633555041771,0.0
fqa_pulse_current,FQA + PULSE,current,55.45512252731031,25.891447692156284,38.3120755831119,0.0,12.78579864186596,29.896563343767156,46.395803727094695,23.70763292913814,55.36339073012909,45.37175043338817,35.88790140330336,39.94343282433712,0.0
fqa_pulse_high,FQA + PULSE,high,55.45512252731031,25.891447692156284,38.3120755831119,0.0,12.78579864186596,29.896563343767156,46.395803727094695,23.70763292913814,55.36339073012909,45.37175043338817,35.88790140330336,39.94343282433712,0.0
