scenario,intervention,level,run,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,211.59334711150476,82.10296844697987,15.475838992225174
mentors_current,MENTORS,current,1,0.6645753370731228,0.41506741462454483,0.5335449266804448,0.11059935045763213,0.3044680641669127,0.12603582324574353,0.4997071799476828,0.40604380587982664,0.09424901417249053,0.0334415903946462,0.0,0.013286093888396812,0.040094478889873046,0.024510382836335005,0.31521335807050094,0.0,0.5346534653465347,0.35730573583581826,0.0,0.039115244562543054,0.08642358035626414,0.01890069875012302,0.05628875110717449,0.01754256470819801,0.018743233933667947,0.03167995276055506,157.4648164550733,50.4364694471387,11.293179805137289
mentors_high,MENTORS,high,1,0.7645999409506938,0.599867139061116,0.6932732998720599,0.2551077649837614,0.3447593740773546,0.1042810746973723,0.5109475273688184,0.3955738014345036,0.09347867119667799,0.0489469540399567,0.0,0.01483613817537644,0.04608306269068005,0.034637338844601906,0.4021914928028465,0.0,0.6208813838550247,0.4108717588733383,0.0,0.04167896860545222,0.08371715382344258,0.017513040055112686,0.05320834563527212,0.017503198504084244,0.01880720401535282,0.03090739100482236,109.24121641570713,47.10721487209242,8.345635272118885
prompts_base,PROMPTS,base,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,211.59334711150476,82.10296844697987,15.475838992225174
prompts_current,PROMPTS,current,1,0.7011908276744415,0.4275907883082374,0.546683397303415,0.10018206869402618,0.3274087196142112,0.12718236394055704,0.5013541747272305,0.40408573860558694,0.09456008666718255,0.029455762228127153,0.0,0.013163074500541286,0.04058163566578093,0.024643243775218975,0.2634451192676701,0.0,0.537472372915411,0.3617739954377961,0.0,0.038997145950201755,0.08590197815175672,0.018521799035528,0.05664796771971262,0.01734573368762917,0.018782600137781713,0.031793130597382147,145.16287766952073,51.72848851879889,10.623954335203228
prompts_high,PROMPTS,high,1,0.8067660663320539,0.615072335400059,0.7084686546599744,0.24048814093101073,0.37458419446904834,0.10473378604468064,0.510759255778989,0.39532042849088517,0.09392031573012592,0.03375159925204212,0.0,0.015190434012400354,0.04672276350752878,0.034179706721779356,0.2629278951201748,0.0,0.6462214779150094,0.4139238850865338,0.0,0.04174293868713709,0.0830922153331365,0.017075091034347012,0.05307548469638815,0.01754748548371223,0.018615293770298198,0.030371026473772267,97.92343273299872,39.927568017455656,7.459895679559098
blood_base,Blood,base,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,211.59334711150476,82.10296844697987,15.475838992225174
blood_current,Blood,current,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,207.16464914870585,79.27183160398057,15.475838992225174
blood_high,Blood,high,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,202.73595118590688,76.44069476098127,15.475838992225174
referral_base,Referral,base,1,0.6291900403503592,0.289937014073418,0.4252337368369255,0.0,0.289937014073418,0.14088180297214842,0.303388054488299,0.46112469437652814,0.2354872511351729,0.024534986713906113,0.0,0.006780828658596595,0.022389528589705738,0.011460486172620805,0.24449566027558475,0.0,0.266280193236715,0.19106407995296884,0.0,0.03907095758291507,0.10242594232851097,0.022364924712134634,0.05804054719023718,0.017503198504084244,0.01952071646491487,0.03398779647672473,211.59334711150476,82.10296844697987,15.475838992225174
