scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,0.0,0.0,-0.0010978988288554703,0.0,0.0,-0.0012511071744907287,-0.0004493901950607393,0.00034008112089872755,0.00010930907416199787,0.02882814191516583,0.017698454876488533,0.0010968654659974427,0.01796744906997343,0.0016703080405471894,0.27957034176318674,0.40355287493341807,0.052719953041022505,0.1697316839938073,0.0,-0.01053028737329003,-0.015985262277334905,-0.001299183151264642,-0.00019254994587147162,0.0,0.0,-0.0029391054030115105,-10.68792441688808,-15.419607626482119,0.011932880621987607
mentors_moderate,MENTORS,moderate,overall_no_flags,0.0,0.0,-0.0022201062887511336,0.0,0.0,-0.0025150821769510945,-0.0008575631304470477,0.0006687062913381947,0.00018885683910885298,0.051020052160220444,0.022802947544533016,0.003446166715874421,0.029152470229308138,0.006126488534593053,0.49480298246199406,0.5352786185663431,0.15724364891544018,0.2853080926246646,0.0,-0.014423211298100577,-0.026773201456549545,-0.002933569530558018,-0.0006857346717842744,0.0,0.0,-0.004726306465899024,-16.081094380474354,-22.42001676759913,-0.12269953744710094
mentors_high,MENTORS,high,overall_no_flags,0.0,0.0,-0.003250024603877577,0.0,0.0,-0.003688564117704962,-0.0012607923004814836,0.000987224430799627,0.00027356786968178726,0.07099229898632024,0.026929140832595216,0.005351540202735951,0.03840500442869796,0.010121001869894695,0.6884663084788263,0.6496561471462163,0.24740743144418909,0.38769326863735243,0.0,-0.017794262375750415,-0.03585355772069679,-0.004323590197815176,-0.001129810058065145,0.0,0.0,-0.006255929534494633,-21.951579568940076,-29.097015375905897,-0.24259423285109705
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,0.05056052553882495,0.027452711347308312,0.02759787422497778,0.0,0.027452711347308312,0.0008157415608699703,0.0022516037732214222,-0.001805498530737637,-0.00044610524248391015,0.0022516484597972647,0.0,0.00033062690680051195,0.0008037102647377205,0.00085284420824722,-6.642755686900315e-05,0.0,0.016587987568978724,0.008257506684348742,0.0,0.0002851343371715401,-0.00136150477315225,-0.0005433766361578572,-0.00027551422104123147,-2.6227733490796074e-05,-4.625528983368682e-06,-0.000274284027162678,-17.44414919791359,-2.4806958283480185,-0.8251156382245828
prompts_high,PROMPTS,high,overall_no_flags,0.18672448577895873,0.09195686940261782,0.09455486664698354,0.0,0.09195686940261782,0.004759644720007866,0.0069851939040641575,-0.00552345639163776,-0.0014617375124264392,0.008304079322901291,0.0,0.0011921316799527598,0.003291555949217595,0.002992298986320245,-0.00011883064629461537,0.0,0.0638372322593419,0.031695784822769246,0.0,0.0014420332644424771,-0.0038310697765967933,-0.0018776449168388942,-0.0009981547091821655,-6.067316209034529e-05,2.128235409900453e-05,-0.0005935193386477702,-60.61657317193189,-2.193855674707649,-3.14491683889381
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,0.2791304005511268,0.16234115736640092,0.16735673162090342,0.0,0.16234115736640092,0.008313305776990437,0.009737917683219854,-0.008751128196878899,-0.0009867894863409693,0.012332669028638912,0.0,0.0017395925597874229,0.005256052553882493,0.005220007873240822,-0.00015798698021374236,0.0,0.09982741771598375,0.05210639639537973,0.0,0.0019189794311583463,-0.006493504576321224,-0.0030695551618935175,-0.0013926286782796893,2.0716464914874444e-05,3.9341600236195845e-05,-0.00100831611061903,-87.80877866351736,0.3944081959795085,-4.653429780533411
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
