scenario,intervention,level,comparison_baseline,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,Home,0,0.0,0.0,0.0,-0.00015428633500719907,-0.0005928231691697261,-0.00012068846633064498,0.0,0.0,0.0,-6.066054839071536e-05,-1.285000000000025,-1.7949463179976988,5.3250000000000455,0.06892253476208765,0.27781377080679975,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,L2/3,1,223.11499999999796,0.0010978988288554148,0.0011084244186739811,-0.00044400269099621054,-0.0012901476818534922,-0.0002687864798591082,-3.9510650397081223e-05,-1.3414046901786929e-05,-2.163568411541958e-05,-8.845905905507587e-05,-0.1800000000000015,-0.4246768161825578,-0.10999999999999943,-0.011570142641130321,0.2886294659302211,0.0,-0.0012559257883462682,0.00015149630854807694,0.0
mentors_current,MENTORS,current,overall_no_flags,L4,2,-76.80000000000291,-0.00037791555949212574,-0.0001770058532378771,-0.0218388494688299,-0.03313568727376179,-0.002579181797406075,-0.00040292188478302515,4.2950295842829334e-05,5.44285033378146e-05,-0.003714162243114272,-5.270000000000003,-9.672822774615177,1.1200000000000045,0.03291510358634575,0.2764519280089728,0.5691433951927336,0.10707405543787957,0.28043268040348074,0.0
mentors_current,MENTORS,current,overall_no_flags,L5,3,-146.3149999999987,-0.0007199832693632613,-0.0012560349754989764,-0.03642463268184218,-0.05289408183585553,-0.0038351167681829265,-4.399035641658444e-05,0.0001717010065775057,0.00018406802774300485,-0.014934008332722667,-14.985,-58.78302697199331,-3.910000000000025,-0.05900643169701425,0.2697669819572811,0.5699723060884868,0.10735611369985382,0.27913224637996403,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,Home,0,0.0,0.0,0.0,-0.0002841963542987644,-0.0010326307302931798,-0.0002101574285579902,0.0,0.0,0.0,-0.00011133346795944715,-2.9850000000000136,-4.062499919014613,-2.894999999999982,-0.04563198701227478,0.501252412964182,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L2/3,1,451.16999999999825,0.0022201062887511336,0.001961001565703002,-0.00078195273097704,-0.0033228665833912006,-0.0007880538000696125,-0.00021702994816354473,-2.8068735101376488e-05,-4.4104783983167986e-05,-0.0002244926808880449,-0.34500000000000064,-0.822353358824671,-1.7049999999999983,-0.05001879735052839,0.4956808159595939,0.0,0.11110532195068779,0.05876233332628544,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L4,2,-159.27000000000407,-0.0007837319161499434,-0.00024372175877074298,-0.029846998272741163,-0.05481235270426614,-0.005792519000041744,-0.0014382688668806293,9.313304096532013e-05,0.00010830927830144874,-0.005961956827488759,-8.015,-14.770162471365602,-9.555000000000007,-0.15169994264012132,0.4923596096590206,0.7626260205997142,0.3011333066590201,0.47062090668667306,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L5,3,-291.8999999999978,-0.0014363743726011208,-0.002202953678341668,-0.04934692053250661,-0.08775912490081149,-0.008650032362721535,-0.0008778581032431176,0.00033612320379668853,0.0003778968715608677,-0.02372648472887455,-21.335,-83.36073514499776,-10.78000000000003,-0.24007784279311295,0.49227080902613385,0.7612894087565604,0.29732552002253304,0.4720871784108578,0.0
mentors_high,MENTORS,high,overall_no_flags,Home,0,0.0,0.0,0.0,-0.00038926113157293843,-0.0014473537076909598,-0.00028600592930385846,0.0,0.0,0.0,-0.00015739695798770367,-6.0849999999999795,-8.543387014798554,-2.6400000000001,-0.04013448274528031,0.6887626523886012,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,overall_no_flags,L2/3,1,660.4700000000012,0.003250024603877577,0.002749045937333161,-0.0010391094211479376,-0.0050786646106601545,-0.0012495316635520509,-0.00035551977293423083,-4.019747538000582e-05,-5.9128619903868126e-05,-0.00032741124268066083,-0.5899999999999999,-1.3872073414316262,-1.0049999999999955,-0.04483539128487957,0.6723155033203867,0.0,0.2105569802341411,0.11290369110721554,0.0
mentors_high,MENTORS,high,overall_no_flags,L4,2,-234.88999999999942,-0.0011558409605353925,-0.0003074974081046511,-0.03672594322030505,-0.07283304638122538,-0.008492449723752502,-0.0023790592894793808,0.0001443822211499926,0.00016411887898813357,-0.007874557138647775,-10.325000000000001,-18.9864245002346,-22.510000000000048,-0.37942495482888994,0.6909531414288757,0.934361459291324,0.47329340838806905,0.64435614621397,0.0
mentors_high,MENTORS,high,overall_no_flags,L5,3,-425.5799999999981,-0.0020941836433421845,-0.003103229197235935,-0.06091241721459376,-0.11773650351011812,-0.012821847835445484,-0.001663484921613917,0.00047509969480982045,0.0005324490105117763,-0.03136068159310809,-27.61,-107.94015831354832,-23.14500000000004,-0.6585053621204366,0.7064500536172919,0.9315001366005218,0.47022846088515086,0.6470009395973492,0.0
prompts_base,PROMPTS,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,Home,0,-6942.709999999999,-0.034163517370337515,0.017140487328604265,-0.00018826139280301787,-0.0010775875359996245,-0.0005300472751403641,-0.0007884187181943433,-0.00011858548232610011,-0.00015812693474531042,-0.0006481501477854958,-37.379999999999995,-7.176180007071366,-212.43000000000006,-0.3429534758187174,0.0004754638122337618,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L2/3,1,1334.270000000004,0.006565643145359734,0.03639990902207768,-0.00011149186210416585,-0.00040922753454598546,-0.0003114295968629161,-0.00019045421590482836,-9.762984527748354e-05,-8.30906925483807e-05,-2.986640390941972e-05,0.16999999999999993,-0.2894893465477324,0.26500000000000057,-0.04752005559191552,0.0012166207566474685,0.0,-0.00257512185025649,-0.000990255333073009,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L4,2,4392.6500000000015,0.021615244562543046,0.022836123166940725,-0.0015263322304446825,-0.003360764816057779,-0.00018327951300302,0.0001605120656468645,-0.00026619922561995843,-0.0001311195995814425,-0.0003671920637727047,1.2099999999999973,-1.4965988881492294,31.029999999999973,-0.11408269407395899,-0.00022604914799720377,0.0,-0.0013875177599625976,-0.0014078608904395384,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L5,3,1215.7900000000009,0.005982629662434805,0.033072991688449904,-0.003025906883603227,-0.0038457953850300763,-0.0006721519280691937,0.0001374732736023343,-0.0003733200442157178,-0.0005312347340165266,-0.001100360946478307,0.5499999999999972,-9.963810349325797,13.454999999999984,-0.29136465955249946,-0.0010835108723323272,0.0,-0.0030562373681227717,1.2123518988216286e-05,0.0
prompts_high,PROMPTS,high,overall_no_flags,Home,0,-25102.549999999996,-0.12352401338450936,0.10142006942051501,-0.0011213256011602044,-0.004545923347152675,-0.002259487400809619,-0.0026193142988220758,-0.0008656858403272918,-0.0010733873045341118,-0.002959829523980703,-139.23,-45.37892695942537,-785.635,-2.127719321263122,-0.000892262931990101,0.0,0.0,0.0,0.0
