scenario,intervention,level,comparison_baseline,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,-1.053028737329003,-1.5985262277334904,-0.1299183151264642,-0.01925499458714716,-0.29391054030115105,-10.68792441688808,0.011932880621987607
mentors_moderate,MENTORS,moderate,overall_no_flags,-1.4423211298100578,-2.6773201456549547,-0.2933569530558018,-0.06857346717842744,-0.4726306465899024,-16.081094380474354,-0.12269953744710094
mentors_high,MENTORS,high,overall_no_flags,-1.7794262375750416,-3.5853557720696787,-0.4323590197815176,-0.11298100580651449,-0.6255929534494633,-21.951579568940076,-0.24259423285109705
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,0.028513433717154008,-0.136150477315225,-0.05433766361578572,-0.027551422104123147,-0.0274284027162678,-17.44414919791359,-0.8251156382245828
prompts_high,PROMPTS,high,overall_no_flags,0.14420332644424771,-0.3831069776596793,-0.18776449168388942,-0.09981547091821655,-0.05935193386477702,-60.61657317193189,-3.14491683889381
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,0.19189794311583463,-0.6493504576321224,-0.30695551618935174,-0.13926286782796893,-0.100831611061903,-87.80877866351736,-4.653429780533411
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-23.007085916740465,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-45.80011809861233,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-86.10619033559689,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-1.9363251648459823,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-3.7127251254797784,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,-0.8455909851392565,-0.0057253223107962825,0.0,-0.07347948036610583,-3.6044680641668947,-0.014737722665090658
pulse_high,PULSE,high,overall_no_flags,0.0,-1.6135739592559788,-0.003825902962306671,0.0,-0.14574352918019853,-5.152051963389425,-0.009743135518158752
fqa_base,FQA,base,overall_no_flags,-1.053028737329003,-1.5985262277334904,-0.1299183151264642,-0.01925499458714716,-0.29391054030115105,-10.68792441688808,0.011932880621987607
fqa_current,FQA,current,overall_no_flags,-1.053028737329003,-1.5985262277334904,-0.1299183151264642,-0.01925499458714716,-0.29391054030115105,-10.68792441688808,0.011932880621987607
fqa_moderate,FQA,moderate,overall_no_flags,-1.0863891349276642,-1.6974461175081181,-0.14241954532034257,-0.02432585375455182,-0.3100531443755536,-10.852770396614517,-0.005658891841353153
fqa_high,FQA,high,overall_no_flags,-1.1166568251156381,-1.7863005609684082,-0.15346668634976907,-0.028786536758192843,-0.3246850703670898,-11.24397204999508,-0.013975002460387742
