scenario,intervention,level,anc,initial_l45,final_l45,free_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
mentors_current,MENTORS,current,56.084246137191215,26.00171981104222,38.82116179509891,0.0,13.26555457140045,55.60640862885804,35.34992597934716,9.043665391794805,52.0531467052989,40.355287493341805,32.23549727200751,35.68718578231183,0.0
mentors_moderate,MENTORS,moderate,56.084246137191215,26.00171981104222,38.70894104910934,0.0,13.139157071154415,55.56559133531941,35.38278849639111,9.05162016828949,73.57641077517964,53.52786185663431,42.68786685944927,47.24482664539756,0.0
mentors_high,MENTORS,high,56.084246137191215,26.00171981104222,38.605949217596695,0.0,13.021808877079028,55.52526841831597,35.414640310337255,9.060091271346785,92.94274337686286,64.96561471462164,51.704245112324166,57.48334424666635,0.0
prompts_base,PROMPTS,base,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
prompts_current,PROMPTS,current,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
prompts_moderate,PROMPTS,moderate,61.14029869107371,28.746990945773053,41.69073910048223,0.0,13.472239444936521,55.876508025686256,35.13536801418353,8.988123960130215,24.08946977329333,0.0,28.62230072480313,19.539768051365975,0.0
prompts_high,PROMPTS,high,74.7566947150871,35.19740675130401,48.38643834268281,0.0,13.86662976085031,56.349867038770526,34.763572228093516,8.886560733135962,24.08422946435077,0.0,33.34722519383945,21.883595865208026,0.0
prompts_high_shift,PROMPTS,high_shift,83.9972861923039,42.23583554768231,55.666624840074796,0.0,14.221995866548568,56.625139416686096,34.4408050475694,8.934055535744509,24.080313830958858,0.0,36.94624373950363,23.924657022469074,0.0
blood_base,Blood,base,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
blood_current,Blood,current,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
blood_moderate,Blood,moderate,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
blood_high,Blood,high,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
referral_base,Referral,base,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
referral_current,Referral,current,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
referral_moderate,Referral,moderate,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,62.69761844827202,30.99671474146849,6.305666810259492,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
referral_high,Referral,high,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,69.06630855231802,27.08142955028194,3.8522618974000435,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
pulse_base,PULSE,base,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
pulse_current,PULSE,current,56.084246137191215,26.00171981104222,38.93095167798445,0.0,13.390665288849524,55.651347648364116,35.31591786725729,9.032734484378606,24.096112528980232,0.0,26.963501967905255,18.7140173829311,0.0
pulse_moderate,PULSE,moderate,56.084246137191215,26.00171981104222,38.81487304399173,0.0,13.265448774726895,55.68686907947684,35.27113986961193,9.041991050911228,24.096112528980232,0.0,27.127721669092438,18.77769895932433,0.0
pulse_high,PULSE,high,56.084246137191215,26.00171981104222,38.714932093297904,0.0,13.153181281369944,55.660484987069225,35.29241737469505,9.047097638235726,24.096112528980232,0.0,26.971193737114408,18.8246103044849,0.0
