scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,0.0,0.0,-1.3934162340523137e-05,0.0,0.0,-0.0006341804499174902,0.0011212388100632076,-0.0003850833515380292,-0.0007361554585251506,0.041528129904623935,0.01690877902531289,0.001915720954565576,0.03896032033482233,0.01723776610728802,0.3350256450705465,0.5345185135079246,0.19866056111826663,0.3626741190112461,0.0,-0.010721709123103548,-0.03300610688558896,-0.0013539780272848016,-0.0023145800635840444,0.0,0.0,-0.007395217111352569,-8.003340174654916,-8.111098470087736,-0.07500301823010957
mentors_moderate,MENTORS,moderate,overall_no_flags,0.0,0.0,-3.279810052725374e-05,0.0,0.0,-0.0009486297235301172,0.0015968794749895987,-0.0005447150765981457,-0.0010521643983913975,0.06124220290554951,0.02072678981045515,0.003201688196708117,0.05165404040404041,0.025111523602559464,0.49421158693580686,0.6764776987372838,0.337012111563393,0.4960788612166264,0.0,-0.01360854561551773,-0.04451059398768562,-0.0021446537083987293,-0.0034396253370356997,0.0,0.0,-0.00993460501428629,-9.683488269145641,-10.447174193564454,-0.1527224435590977
mentors_high,MENTORS,high,overall_no_flags,0.0,0.0,-4.6078313010622374e-05,0.0,0.0,-0.0012368203951869244,0.0020718323170830777,-0.000698274244833208,-0.0013735580722497587,0.08216205883536562,0.02433845426375307,0.0044542033884663376,0.06377459857539539,0.03331758823292688,0.6632537093777324,0.8204921689680588,0.4788037557176869,0.6330079407049587,0.0,-0.016434866594229148,-0.056107690450319936,-0.0029366372892269304,-0.004537607147168901,0.0,0.0,-0.012504778864340618,-12.500503038351646,-12.890831181993715,-0.24729365366815514
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,0.001837096060203658,0.001911445128576661,8.868566139474954e-05,0.0,0.001911445128576661,-0.0018155157149181006,-0.0003023373546393593,-4.815535856539377e-05,0.00035049271320480857,9.547667914201752e-05,0.0,-6.036460219725238e-07,-8.59189504607838e-05,1.0513501549359525e-05,-6.628332216956911e-05,0.0,0.0001518481335705535,-0.000639271794579982,0.0,-2.5554348263519266e-05,-2.0825787758055325e-05,-7.595879109823997e-06,-6.89162541751831e-06,-6.539498571336844e-07,0.0,-1.4638416032844437e-05,-1.322990864823538,-0.2446066789910475,-0.01695239245040092
prompts_moderate,PROMPTS,moderate,overall_no_flags,0.05628883456074685,0.040588253048412404,0.0002000080486136424,0.0,0.040588253048412404,-0.047486770091351764,0.0033450817850370074,-2.307273228513429e-05,-0.0033220090527518453,0.003067930299005997,0.0,-3.5011469274417225e-05,-0.00103298925510081,0.0003670670851945775,0.0004173476270776799,0.0,0.0027571003838736674,-0.00590077039489359,0.0,-0.0005494184876655012,-0.0016805002213368808,-0.00021419373012998566,0.0003867358847438468,-4.7537124230345035e-05,-3.164111231840328e-05,-0.00045429393536963736,-8.692502716407098,-4.954348840940828,-1.2883818262304327
prompts_high,PROMPTS,high,overall_no_flags,0.20976714354702408,0.08408049619703006,0.0005621956617972712,0.0,0.08408049619703006,-0.09521087367700913,,,,0.011032184393738181,0.0,-7.107931908728691e-05,-0.0033716145518934374,0.0010270534025514123,-0.00017791899867269922,0.0,0.017553304167087003,-0.00877097127605414,0.0,-0.005223499939635404,-0.013715944303593713,-0.0007445973681033443,0.004210531610930018,-0.00015010664413054459,-5.427783814238008e-05,-0.0024572920439454304,-23.678015211879753,-11.80280938747065,-2.299136786188579
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,0.2570802144955532,0.16365975491971518,0.0920188438166526,0.0,0.16365975491971518,-0.07895332810173447,-0.023158724011580367,0.011233697891866012,0.01192502611971441,0.013579570606463039,0.0,-0.00020805666223992943,-0.00138763129300978,0.0015479999195138656,0.00015339614519815914,0.0,0.007921773893304784,0.005029441849651484,0.0,-0.003096603485049705,-0.011490402028250635,-0.0008050625779709442,0.002315535836452172,0.00022953639985513058,-0.00013295303633949055,-0.0019866493621473677,-24.326934685500426,-8.682194414708523,-2.4061330435832424
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
