scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,26.555,451.6180478235515,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.405,13.831361071421874,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
mentors_base,MENTORS,base,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,9.46,19.18845173173255,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
mentors_base,MENTORS,base,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,20.2,75.40145619198593,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
mentors_current,MENTORS,current,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.02088641055951726,0.09786595299528388,0.01229183416620945,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03798094293958271,26.185,445.23358257134953,159.55,27.141259665973617,0.5799364646983599,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L2/3,1,17398.665,0.1750439152480985,0.12685267155555902,0.013897726200815365,0.06344830382110078,0.005848937287899142,0.030508965905876463,0.010844207215928468,0.0009669774654994404,0.002984867304733191,2.645,15.20724828138898,92.86,5.337258926395943,0.6047306719442644,0.0,0.38334160942293777,0.0500363848077161,0.0
mentors_current,MENTORS,current,L4,2,49491.75,0.4979249667994688,0.8021461740877354,0.021507057333140078,0.06210036550126302,0.007223639529848707,0.05027543469762616,0.020299151797077655,0.0016588484977287199,0.021781807297033905,7.385,14.965638007111247,298.73,6.037458574768943,0.6036646117489596,0.6040001535163089,0.6062462245819564,0.6080594022965485,0.0
mentors_current,MENTORS,current,L5,3,26626.985,0.2678878928729526,0.7307993820817755,0.031835851860076134,0.08883061696706479,0.0107236306971884,0.07446868725130579,0.02983169071785285,0.002529583334044151,0.07270843986450458,14.45,54.032789951724034,261.27,9.799905821291993,0.6001553214018405,0.6022059854388813,0.6127683613988336,0.6095179586630728,0.0
mentors_moderate,MENTORS,moderate,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.02075789173326383,0.09714822037804749,0.012251076327671882,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03794783535833369,26.7,453.91249420972986,159.875,27.19689991525565,0.7465328614637806,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L2/3,1,17400.54,0.17506277918628516,0.12705631905196924,0.013722488174530055,0.06205622347544341,0.005505646080046077,0.030139980057406618,0.010750585104742371,0.0009582385543146112,0.00295494407761052,2.62,15.066556210180227,91.355,5.250378892319764,0.7681432100012983,0.0,0.47744378165695267,0.06289247179656136,0.0
mentors_moderate,MENTORS,moderate,L4,2,49510.72,0.4981158195500825,0.8021956240765974,0.018295296860357548,0.049120054301751724,0.006391382487710357,0.04897642486538052,0.020311588042277187,0.0016632486746815502,0.019925790100768573,6.54,13.249050763447475,295.47,5.9695994776705845,0.7624415434652385,0.7671899559173394,0.7590004167200365,0.7680597130791992,0.0
mentors_moderate,MENTORS,moderate,L5,3,26606.14,0.2676781761841523,0.7305667942343612,0.02718214054992679,0.07110456636557427,0.009557203065334374,0.0729451602850547,0.029878179227597994,0.0025277712290103483,0.06675528211356466,13.135,49.14521857231609,257.985,9.684442840429147,0.7591548399433233,0.7632638249619519,0.7779103453588023,0.7670719203150966,0.0
mentors_high,MENTORS,high,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.020589365560794253,0.09640827417475738,0.01214727726769584,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.037827498966527776,26.185,445.1371732301158,159.38,27.116540332156948,0.9352028593556632,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,L2/3,1,17401.86,0.17507605939876858,0.12728393815487224,0.013509055498710638,0.06050501591252905,0.005154139080421294,0.02968201207050078,0.010669662936921351,0.000949842140117485,0.002916798526042323,2.515,14.463610653204944,90.41,5.195791574257712,0.9394746716890902,0.0,0.5743892296095584,0.07780736811181332,0.0
mentors_high,MENTORS,high,L4,2,49529.565,0.49830541470481715,0.8022417631636359,0.015145189354118576,0.03628404867545093,0.005557275900528475,0.04775325336455325,0.020324816273006543,0.0016637155721472572,0.01808718738784297,5.695,11.524412282996073,291.86,5.894293286060573,0.9306465873028933,0.9301152006026371,0.9290863680983328,0.9343698702616932,0.0
mentors_high,MENTORS,high,L5,3,26585.975,0.2674753008169343,0.7303114434520788,0.022671003569209373,0.052866546377631274,0.008407450999425142,0.07143830294524788,0.029914272643908717,0.002533054516450851,0.06067254410006903,11.8,44.18255586404828,253.635,9.527994118679123,0.9284603535073692,0.931043392516659,0.9324492723429851,0.9286569170063408,0.0
prompts_base,PROMPTS,base,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,26.555,451.6180478235515,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.405,13.831361071421874,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
