scenario,intervention,level,comparison_baseline,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,-1.0721709123103547,-3.3006106885588955,-0.13539780272848018,-0.23145800635840444,-0.7395217111352569,-8.003340174654916,-0.07500301823010957
mentors_moderate,MENTORS,moderate,overall_no_flags,-1.360854561551773,-4.451059398768562,-0.21446537083987294,-0.34396253370357,-0.993460501428629,-9.683488269145641,-0.1527224435590977
mentors_high,MENTORS,high,overall_no_flags,-1.6434866594229147,-5.610769045031994,-0.29366372892269305,-0.4537607147168901,-1.2504778864340618,-12.500503038351646,-0.24729365366815514
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,-0.0025554348263519266,-0.0020825787758055325,-0.0007595879109823997,-0.000689162541751831,-0.0014638416032844437,-1.322990864823538,-0.01695239245040092
prompts_moderate,PROMPTS,moderate,overall_no_flags,-0.054941848766550117,-0.16805002213368808,-0.021419373012998566,0.03867358847438468,-0.045429393536963736,-8.692502716407098,-1.2883818262304327
prompts_high,PROMPTS,high,overall_no_flags,-0.5223499939635403,-1.3715944303593712,-0.07445973681033444,0.42105316109300184,-0.24572920439454304,-23.678015211879753,-2.299136786188579
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,-0.3096603485049705,-1.1490402028250635,-0.08050625779709442,0.2315535836452172,-0.19866493621473677,-24.326934685500426,-2.4061330435832424
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-6.152159040605262,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-12.78723489878869,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-23.320857982212566,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-1.5745100406455066,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-2.877379371403279,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,-0.07782003299931645,0.00014085073846027002,0.0,-0.00853153044388169,-1.1469274417481614,0.029427743571169174
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,-0.896359008410802,-0.004466980562598151,0.0,-0.1198740391967483,-1.584570807678375,-0.00040243068131573523
pulse_high,PULSE,high,overall_no_flags,0.0,-1.6975330999235385,-0.006167250191154577,0.0,-0.2287114169584291,-1.2374743450440704,-0.02862288220853948
fqa_base,FQA,base,overall_no_flags,-1.0239043824701195,-3.15811501468872,-0.12131272888245004,-0.21310716729043416,-0.6818584248863134,-7.520423357076744,-0.054680268823695144
fqa_current,FQA,current,overall_no_flags,-1.024925550323957,-3.1624562356634063,-0.12158436959233773,-0.21349450682119978,-0.6827488027687234,-7.545575274658944,-0.05452935731820219
fqa_moderate,FQA,moderate,overall_no_flags,-1.0549066360819352,-3.293925308865549,-0.12936637289226935,-0.227287818423276,-0.7161606100849128,-8.008370558171357,-0.0708781037466295
fqa_high,FQA,high,overall_no_flags,-1.08216628435752,-3.418462513582035,-0.13551350154935807,-0.24022596482755898,-0.7627520222141735,-7.112962292245157,-0.08330315103223462
