scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
mentors_current,MENTORS,current,2.2911636283150227,7.162632299086483,0.822372127651012,5.425218318644614,3.315530806068655,50.97287617207936,8.173467745180893
mentors_moderate,MENTORS,moderate,2.0024799790736045,6.012183588876816,0.7433045595396193,5.312713791299449,3.0615920157752825,49.292728077588635,8.095748319851905
mentors_high,MENTORS,high,1.7198478812024627,4.8524739426133845,0.6641062014567991,5.202915610286128,2.80457463076985,46.47571330838263,8.001177109742848
prompts_base,PROMPTS,base,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
prompts_current,PROMPTS,current,3.3607791057990255,10.461160408869572,0.9570103424685098,5.655987162461266,4.053588675600627,57.65322548191074,8.231518370960602
prompts_moderate,PROMPTS,moderate,3.3083926918588276,10.29519296551169,0.9363505573664936,5.695349913477403,4.009623123666948,50.28371363032718,6.96008893718057
prompts_high,PROMPTS,high,2.8409845466618373,9.091648557286007,0.8833101935691577,6.07772948609602,3.8093233128093686,35.29820113485452,5.949333977222424
prompts_high_shift,PROMPTS,high_shift,3.053674192120407,9.314202784820315,0.8772636725823978,5.888229908648236,3.856387580989175,34.64928166123385,5.842337719827761
blood_base,Blood,base,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
blood_current,Blood,current,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,52.82405730612901,8.248470763411003
blood_moderate,Blood,moderate,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,46.18898144794559,8.248470763411003
blood_high,Blood,high,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,35.65535836452171,8.248470763411003
referral_base,Referral,base,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
referral_current,Referral,current,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
referral_moderate,Referral,moderate,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,57.40170630608877,8.248470763411003
referral_high,Referral,high,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,56.098836975331,8.248470763411003
pulse_base,PULSE,base,3.3633345406253774,10.463242987645378,0.9577699303794922,5.656676325003018,4.055052517203912,58.976216346734276,8.248470763411003
pulse_current,PULSE,current,3.3633345406253774,10.385422954646062,0.9579107811179525,5.656676325003018,4.04652098676003,57.829288904986115,8.277898506982172
pulse_moderate,PULSE,moderate,3.3633345406253774,9.566883979234577,0.953302949816894,5.656676325003018,3.9351784780071632,57.3916455390559,8.248068332729687
pulse_high,PULSE,high,3.3633345406253774,8.76570988772184,0.9516026801883376,5.656676325003018,3.8263411002454824,57.738742001690206,8.219847881202464
fqa_base,FQA,base,2.339430158155258,7.305127972956658,0.8364572014970422,5.443569157712584,3.3731940923175983,51.45579298965753,8.193790494587308
fqa_current,FQA,current,2.3384089903014207,7.300786751981972,0.8361855607871544,5.443181818181818,3.3723037144351884,51.43064107207533,8.1939414060928
fqa_moderate,FQA,moderate,2.3084279045434424,7.16931767877983,0.8284035574872228,5.429388506579742,3.338891907118999,50.96784578856292,8.177592659664374
fqa_high,FQA,high,2.2811682562678577,7.0447804740633435,0.8222564288301341,5.4164503601754594,3.292300494989738,51.86325405448912,8.165167612378768
