scenario,intervention,level,anc,initial_l45,final_l45,free_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
mentors_current,MENTORS,current,62.82133083826311,68.23084932995292,76.58128596724214,0.0,9.457669322709163,36.06788756863293,47.35698358496242,16.575128846404645,60.21280705338044,53.45185135079246,54.113255423753884,51.857632029170645,0.0
mentors_moderate,MENTORS,moderate,62.82133083826311,68.23084932995292,76.57939957342347,0.0,9.426224395347901,36.115451635125574,47.34102041245641,16.54352795241802,76.13140123990647,67.64776987372838,67.94841046826652,65.19810624970867,0.0
mentors_high,MENTORS,high,62.82133083826311,68.23084932995292,76.57807155217513,0.0,9.39740532818222,36.16294691933492,47.3256644956329,16.511388585032186,93.03561348409903,82.04921689680587,82.12757488369591,78.8910141985419,0.0
prompts_base,PROMPTS,base,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
prompts_current,PROMPTS,current,63.00504044428348,68.42199384281058,76.59154794961567,0.0,9.339535796209104,35.92552995216268,47.390676384259685,16.683793663577642,26.70361421410883,0.0,34.26238412528427,15.526292948588036,0.0
prompts_moderate,PROMPTS,moderate,68.4502142943378,72.28967463479415,76.60268018833756,0.0,4.772410358565737,36.29027186613031,47.39318464688771,16.316543486981978,26.751977309033553,0.0,34.522909350314585,15.000143088556674,0.0
prompts_high,PROMPTS,high,83.79804519296552,76.63889894965592,76.63889894965592,0.0,0.0,,,,26.692450646458514,0.0,36.00252972863592,14.71312300044062,0.0
prompts_high_shift,PROMPTS,high_shift,88.52935228781843,84.59682482192443,85.78456376514146,0.0,1.625754557527466,33.639891286468576,48.518861709302826,17.841247004228602,26.7255821608456,0.0,35.039376701257694,16.093164313011183,0.0
blood_base,Blood,base,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
blood_current,Blood,current,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
blood_moderate,Blood,moderate,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
blood_high,Blood,high,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
referral_base,Referral,base,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
referral_current,Referral,current,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
referral_moderate,Referral,moderate,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,45.39913465462902,42.820384435257026,11.780480910113955,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
referral_high,Referral,high,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,53.924750394010154,38.851209470942834,7.224040135047013,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
pulse_base,PULSE,base,62.82133083826311,68.23084932995292,76.58267938347619,0.0,9.521087367700913,35.955763687626614,47.39549192011622,16.64874439225716,26.710242546325784,0.0,34.24719931192722,15.590220128046035,0.0
pulse_current,PULSE,current,62.82133083826311,68.23084932995292,76.58350939675641,0.0,9.523119642641555,35.95527926012131,47.37530649089674,16.669414248981948,26.710242546325784,0.0,34.158360384434474,15.620315818666954,0.0
pulse_moderate,PULSE,moderate,62.82133083826311,68.23084932995292,76.57637128254657,0.0,9.49563362710773,36.20770020295102,47.21753669371979,16.574763103329197,26.710242546325784,0.0,34.14845098250989,15.53335113230987,0.0
pulse_high,PULSE,high,62.82133083826311,68.23084932995292,76.56829248661919,0.0,9.439625337035695,36.184050383488334,47.325949251247906,16.490000365263764,26.710242546325784,0.0,35.368289189946296,15.545748880181968,0.0
fqa_base,FQA,base,62.82133083826311,68.23084932995292,76.58256871503883,0.0,9.47022012958268,36.042308537644104,47.34095580064499,16.616735661710905,57.65846613141766,51.524169095061225,51.65399953549055,49.65376984523633,0.0
fqa_current,FQA,current,62.82133083826311,68.23084932995292,76.58256871503883,0.0,9.470200008048614,36.042217228646145,47.34085550524355,16.6169272661103,57.65846613141766,51.58735108312287,51.696159389288496,49.70978716564011,0.0
fqa_moderate,FQA,moderate,62.82133083826311,68.23084932995292,76.5822216185762,0.0,9.466205883536562,36.04605493892976,47.34696411094174,16.606980950128502,57.65846613141766,53.21032223450472,53.408451454584885,51.39429783134432,0.0
fqa_high,FQA,high,62.82133083826311,68.23084932995292,76.58040565012676,0.0,9.453946838907,36.068362296974016,47.34415208972821,16.587485613297773,57.65846613141766,54.68420363796134,55.42266595604814,52.95495317236959,0.0
