scenario,intervention,level,run,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
mentors_current,MENTORS,current,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.09422914402994084,0.3540465513559684,0.4774717061712577,0.16848174247277387,0.06076703287858666,0.013783250835043663,0.005221538090063986,0.05671254376433659,0.03048412410962212,0.6012941762070682,0.5281418658442559,0.5174476570289133,0.5027200570766075,0.0,0.01901484969214053,0.07686426013119241,0.0075958791098233325,0.0664312447180973,0.02157028451849169,0.0017103303955893598,0.039065958388667554,63.3828323071351,36.31625045395313,9.990341663648437
mentors_moderate,MENTORS,moderate,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.09403798945631615,0.35444527655932384,0.4776933775542955,0.16786134588638066,0.07697492856855406,0.017173729325123746,0.006650167008732746,0.07045555153124874,0.03841200853153044,0.7616724738675958,0.66601638704643,0.6649899396378269,0.6376217791131749,0.0,0.017123425489959355,0.06586784176425611,0.0069721115537848604,0.06514346653788886,0.02157028451849169,0.0017103303955893598,0.036641313533743815,53.32206527425651,25.635000320437506,10.151313936174494
mentors_high,MENTORS,high,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.09390719948488872,0.3547246625241054,0.4777158774373259,0.16755946003856867,0.0936858626101654,0.020624572417401104,0.008008370558171355,0.08341381946959636,0.04614873837981408,0.9270283723245396,0.8083596214511041,0.8097660223804679,0.7708972570897257,0.0,0.014970421344923338,0.05545494788522677,0.006287979395549117,0.06407702523240372,0.02157028451849169,0.0017103303955893598,0.034045635639261135,44.26737494466578,17.090000213625004,10.020523964747072
prompts_base,PROMPTS,base,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
prompts_current,PROMPTS,current,1,0.633154251680148,0.6868888084027526,0.7660268018833756,0.0,0.6868888084027526,0.09280051511127209,0.3526669557675629,0.47810060711188207,0.16923243712055508,0.027033281017344764,0.0,0.0034609038593102336,0.017817618415227977,0.012757052597690048,0.26646172153907177,0.0,0.33140655105973027,0.15135458507819843,0.0,0.02683206567668719,0.10656364441224998,0.008742806551571492,0.06883576803895529,0.02157028451849169,0.0017103303955893598,0.045504849289709846,71.43144593343796,40.57401554625438,9.990341663648437
prompts_moderate,PROMPTS,moderate,1,0.6877540343675802,0.7250794800595597,0.7660268018833756,0.0,0.7250794800595597,0.042979596764457326,0.36891385767790263,0.47191011235955055,0.15917602996254682,0.029347257434906838,0.0,0.0034910861604088694,0.017133486256992233,0.013209787114169584,0.26576166180758015,0.0,0.3425468904244817,0.14933356716941423,0.0,0.026681154171194012,0.10390760191557004,0.00854159121091392,0.06919795565213892,0.021459616081130024,0.001750573463720874,0.04542436315344682,52.31598857096865,26.503546174478146,7.575757575757576
prompts_high,PROMPTS,high,1,0.8384743852871342,0.7663889894965592,0.7663889894965592,0.0,0.7663889894965592,0.0,,,,0.03578614833594913,0.0,0.003481025393375991,0.014638416032838343,0.01387379773833957,0.2648548026805659,0.0,0.36613756613756615,0.14895577395577395,0.0,0.024397360054730574,0.08905790977504124,0.007958066723006961,0.07384603002132882,0.021389190711899875,0.0016499657933920881,0.04343233128093686,50.30383516439293,31.217156949459426,6.338283230713509
prompts_high_shift,PROMPTS,high_shift,1,0.8860215702845184,0.8467242142540947,0.8579922733309188,0.0,0.8467242142540947,0.016056984184474224,0.325187969924812,0.5012531328320802,0.17355889724310777,0.037858666344722125,0.0,0.0033703569560143264,0.016972513984466177,0.014467382993279407,0.26584245849523136,0.0,0.3526315789473684,0.1659779614325069,0.0,0.025202221417360858,0.09181455994204998,0.008008370558171355,0.07087810374662964,0.02133888687673548,0.0015493581230633024,0.04308020443478611,21.12761076904503,18.63199735011593,6.700470843897139
blood_base,Blood,base,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
blood_current,Blood,current,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,61.37067890055938,32.04375040054688,9.698579419694958
blood_moderate,Blood,moderate,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,52.31598857096865,26.703125333789067,9.698579419694958
blood_high,Blood,high,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,39.23699142822649,19.226250240328127,9.698579419694958
referral_base,Referral,base,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
referral_current,Referral,current,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
referral_moderate,Referral,moderate,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.45217853347502657,0.42720510095642933,0.1206163655685441,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
referral_high,Referral,high,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.5416578108395325,0.38480340063761953,0.07353878852284804,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
pulse_base,PULSE,base,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.0946718177793875,0.3534537725823592,0.4780021253985122,0.1685441020191286,0.02696285564811461,0.0,0.0034609038593102336,0.017888043784458126,0.012746991830657169,0.2667994026879044,0.0,0.3310875842155919,0.15178418985828923,0.0,0.026811944142621433,0.10665419131554589,0.00875286731860437,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04553503159080848,67.40713912028653,37.38437546730469,9.698579419694958
pulse_current,PULSE,current,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.09428950863213811,0.3539265898420828,0.4778062313273581,0.1682671788305591,0.02696285564811461,0.0,0.0034709646263431124,0.017706949977866312,0.012746991830657169,0.2667994026879044,0.0,0.3320500481231954,0.1513848271116463,0.0,0.026811944142621433,0.10586945148698136,0.008732745784538613,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.04485089943257274,69.41929252686225,40.58875050735938,10.443076180127973
pulse_moderate,PULSE,moderate,1,0.6312427059439012,0.6849470803654071,0.7660268018833756,0.0,0.6849470803654071,0.09400780715521752,0.3556292808219178,0.4755993150684932,0.16877140410958905,0.02696285564811461,0.0,0.0034407823252444766,0.016982574751499054,0.012746991830657169,0.2667994026879044,0.0,0.329162656400385,0.15738927738927738,0.0,0.026811944142621433,0.09747877178156063,0.008913839591130427,0.06890619340818543,0.02157028451849169,0.0017103303955893598,0.044035977302909576,65.39498571371081,34.18000042725001,9.879673226286773
