scenario,intervention,level,comparison_baseline,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,-2.8774440931975183,-2.925257581079499,-0.07548881863950352,-0.1764796276782575,-0.9484032900128794,-15.564629434492431,-0.12220465987589257
mentors_moderate,MENTORS,moderate,overall_no_flags,-3.4516230535066152,-4.11600661515045,-0.13893279475471243,-0.2283178199274087,-1.2411676033251384,-19.1795457206416,-0.2481413183467982
mentors_high,MENTORS,high,overall_no_flags,-4.099058950942513,-5.4056828825664445,-0.20957733286500407,-0.2882200561995084,-1.5662466338836205,-23.13839128907621,-0.4303506615150461
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,-0.011591148577450028,0.005715080201382228,-0.001331811263318057,0.0017635522772514733,-0.011276489872380502,-1.9903992506732209,-0.05532139093782895
prompts_moderate,PROMPTS,moderate,overall_no_flags,-0.28501492799438005,-0.300360028099754,-0.01000321976349361,0.03221958787027329,-0.09988584474885931,-13.105900948366681,-0.6498068141903763
prompts_high,PROMPTS,high,overall_no_flags,-1.8267255005268712,-1.940924657534246,-0.06157797681770275,0.30259922725676125,-0.41385669125395197,-33.35382273738436,-1.9484691488116148
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,-0.9846622175389299,-1.4501009834913938,-0.09911749209694413,0.18384849549233154,-0.2510171525582493,-37.96393864887014,-1.829850134644655
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-12.915642196464105,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-26.48255473597939,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-47.22075869336142,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-2.5099519962533634,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-4.822327596300184,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,-0.9763786441868622,-0.0046832923545250815,0.0,-0.13109559770518725,-2.9709635874019256,0.03402704601334783
pulse_high,PULSE,high,overall_no_flags,0.0,-1.8929940873434012,-0.0003073410607656521,0.0,-0.2656524411661407,-3.505151621589974,0.012805877531905097
fqa_base,FQA,base,overall_no_flags,-2.7166534949069203,-2.58126975763962,-0.05745814307458134,-0.16192483315770959,-0.8677628497833982,-14.159641728134858,-0.09234867111579437
fqa_current,FQA,current,overall_no_flags,-2.7212855637513176,-2.591331518557545,-0.05794110759864187,-0.16240779768176977,-0.8703093900011714,-14.23281817117433,-0.09366584709050496
fqa_moderate,FQA,moderate,overall_no_flags,-2.7942497951059595,-2.7465680248214497,-0.06518557545954796,-0.1698498419388829,-0.9067658939234287,-14.971900245872831,-0.11627736798969668
fqa_high,FQA,high,overall_no_flags,-2.863621063107364,-2.896682180072592,-0.07147874956094126,-0.17740896850485868,-0.9428857862077047,-15.535358857276663,-0.13742536002810013
