scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,0.0,0.0,-4.454147570087663e-05,0.0,0.0,-0.00045842107436309953,-0.0014224762580477002,0.001124883077465666,0.0002975931805821036,0.044616416862793676,0.02917316982534374,0.011380940583839134,0.01936656137743094,0.005724586068788968,0.31409945364108594,0.49180729650720695,0.48731744278548633,0.47863561348911254,0.0,-0.017839041661505434,-0.01611637557289731,-0.005844429992980717,-0.0007709855898261689,0.0,0.0,-0.007823093439035471,-5.037367356207945,-4.818909561782075,-0.049238201412114435
mentors_moderate,MENTORS,moderate,overall_no_flags,0.0,0.0,-8.180560716797292e-05,0.0,0.0,-0.0007875531607415692,-0.0024181712081876583,0.0019168413038780918,0.0005013299043095804,0.0704537243486519,0.03732745984557579,0.01455876584499773,0.024657861596267393,0.013579059829059832,0.49605623738381466,0.6502259762831293,0.6438187452925671,0.6379030582655069,0.0,-0.024049971097072548,-0.021420630496717455,-0.007937569676700111,-0.0017904331310128335,0.0,0.0,-0.010664302820099919,-6.7818654775176626,-6.1903795012621,-0.1925657541599577
mentors_high,MENTORS,high,overall_no_flags,0.0,0.0,-0.00011746975515103397,0.0,0.0,-0.001128039968619668,-0.003484689016728937,0.0027637587287852594,0.000720930287943719,0.09710082992691688,0.045368409100293154,0.017574786324786325,0.029457502374169043,0.021558900037160912,0.683667163605568,0.8181244529260349,0.8037191897636418,0.7997422934818335,0.0,-0.0300200772121062,-0.026437198067632853,-0.009966710021057847,-0.002785313183863901,0.0,0.0,-0.013390881126388372,-8.402493909740286,-7.760846258577942,-0.3090032619018128
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,0.0025162578966926308,0.003119709732028464,0.00012108262108256884,0.0,0.003119709732028464,-0.002950730831165607,0.0015598286258677874,-0.001004023602172277,-0.0005558050236954687,0.00012851480242784957,0.0,0.0,0.0,5.9921962095876163e-05,6.107291296653106e-05,0.0,0.0,0.0,0.0,-8.846360295635541e-05,-0.0001038440893513376,-1.1561170981461838e-05,-1.7651430694903825e-05,-2.6322308930987193e-06,4.903175193030551e-06,-4.3199554069110746e-05,-0.4283826747594901,0.1351933211905454,-0.07963788760890278
prompts_moderate,PROMPTS,moderate,overall_no_flags,0.06234588546182751,0.009955923035633196,0.00022121061976132506,0.0,0.009955923035633196,-0.009631797349188662,0.004992618030280727,-0.003607177336113876,-0.0013854406941667813,0.0031377740616871028,0.0,0.0,0.0,0.00014353400222965468,-8.083564567032409e-05,0.0,0.0,0.0,0.0,-8.257979272471849e-05,-0.0008718877740616915,-0.00041279573888269513,7.396052685908205e-05,-2.069656055163696e-05,1.4812750319997004e-05,-0.00014807589082951184,-4.128989636236021,-0.2217688580317656,-0.34466740988480105
prompts_high,PROMPTS,high,overall_no_flags,0.23027385523762334,0.024163518312068977,0.00025517155951937376,0.0,0.024163518312068977,-0.025171456294644692,0.00902647807062007,-0.0062346473109622935,-0.0027918307596577346,0.011756007679920723,0.0,0.0,0.0,0.00039493785870597584,0.0007357718615454978,0.0,0.0,0.0,0.0,-0.0001719724183492366,-0.00295620174243362,-0.0016960857178248447,0.0008951133407655229,-7.95862752384531e-05,2.5806185226476697e-06,-0.0008234237582063625,-10.735373054213639,-2.215168392053805,-1.1083756554771051
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,0.2370430240720096,0.02440707708823653,0.02582553986539493,0.0,0.02440707708823653,0.003115993641355966,0.007034000776617311,-0.005134579189955024,-0.0018994215866623004,0.012092468722903503,0.0,0.0,0.0,0.0006470126759981834,0.0007032438875048952,0.0,0.0,0.0,0.0,-0.0010954725628638737,-0.003164509269581735,-0.0013572505058012316,0.0010729179569759356,-0.00014054048474338582,2.9367438787728786e-05,-0.0006462901028118362,-11.411495107147289,-3.4483680093949935,-0.967422271770098
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
