scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,Home,0,3905.765,0.040317158016433374,0.7198699345585321,0.03158366582411177,0.029219814533307874,0.02213174664664965,0.05844355189797474,0.024713194678559994,0.0013333826953075398,0.03351231225660162,21.41,548.1207160079023,83.17,21.29993261350392,0.24874134430998926,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L2/3,1,20887.3,0.21560861307238122,0.7012460899851416,0.02957173442891676,0.023078266507287292,0.011701317387507197,0.02884191687563034,0.015568081495204982,0.000731572388576242,0.0033748346267457397,4.42,21.157849912675612,80.76,3.866614016932171,0.25404955202363283,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L4,2,48023.05,0.49571668937610963,0.6854540817342604,0.06090559183130498,0.04166394992935112,0.023378126506924182,0.045465977640157446,0.029823822538660782,0.00157207709996633,0.03453001906476372,7.575,15.830863448928326,285.925,5.954664480204318,0.24903668496576983,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L5,3,24059.885,0.24835753953507578,0.6802120057026092,0.09859880516751833,0.06690878159193685,0.038520604068566375,0.07383140559687666,0.04810333133363247,0.0025513310399441456,0.11977543778046972,13.42,55.54326080837768,197.895,8.21478935272102,0.2386104992991821,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,Home,0,3905.765,0.040317158016433374,0.7198699345585321,0.029778196277622612,0.0273842302335221,0.021261295477792846,0.05844355189797474,0.024713194678559994,0.0013333826953075398,0.033068480690078075,21.01,537.9525746231236,82.315,21.08001987383226,0.5589867113249067,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L2/3,1,20891.615,0.21565315454808207,0.7018622369186415,0.027814328912714098,0.021228170461499034,0.010994162266274456,0.028418695936636106,0.015316664195156354,0.0007254422189325216,0.0033129154473784807,4.6,22.01515276013479,80.19,3.8386333011235934,0.5712504929889177,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L4,2,48056.16,0.4960584664932491,0.6855460975721305,0.04159174313895352,0.02420313543495986,0.017098479487021725,0.04455231965969883,0.02986833605451371,0.0015724195295047031,0.028802529749434362,5.925,12.364076636145676,283.975,5.910005870830327,0.5637431893919855,0.5597388212432026,0.5589943061500431,0.5566870149303202,0.0
mentors_current,MENTORS,current,L5,3,24022.46,0.24797122094223542,0.679483265620037,0.06720920722827706,0.03881411663097706,0.028314238356639477,0.07296209836591278,0.04826190827733983,0.002557516631844353,0.09998340540717349,10.41,43.120703686906,196.5,8.169779404546091,0.5493926651731087,0.5586154826157239,0.5731298638109213,0.5568059505138677,0.0
mentors_moderate,MENTORS,moderate,Home,0,3905.765,0.040317158016433374,0.7198699345585321,0.028737292890517657,0.026363068214795917,0.020456477195503794,0.05844355189797474,0.024713194678559994,0.0013333826953075398,0.03257077883608681,20.595,527.2123289537003,81.785,20.94359244097679,0.7456092498323399,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L2/3,1,20895.225,0.2156904186795491,0.7023202802260127,0.02669234653121758,0.02019268824403735,0.010467592822358146,0.027848973174027934,0.015067618672518789,0.0007145482293631042,0.003273879571375183,4.495,21.51205653856586,78.745,3.7687204478269347,0.7478847207793422,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L4,2,48078.875,0.49629294149221687,0.685580706333066,0.034978566779506746,0.018460634305074684,0.014907945152826224,0.043389230602697844,0.029916058669901404,0.0015754104367051963,0.026688852939367146,5.49,11.448472348775278,277.865,5.780110666123829,0.7456461699539898,0.7400958983399577,0.7404063021113929,0.7426622160008683,0.0
mentors_moderate,MENTORS,moderate,L5,3,23996.135,0.24769948181180065,0.6790068649668367,0.056567825431084746,0.02999597243894919,0.024861601370966945,0.0717050826025919,0.0484046490711247,0.002562183690281385,0.0929564329612691,9.675,40.10875612351033,190.7,7.9369830359221565,0.7349957641372824,0.737034387520655,0.7514396392100854,0.740624256889818,0.0
