scenario,intervention,level,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,48.33498492918783,27.33649975241818,6.686382592179694
mentors_current,MENTORS,current,0.6889479850530575,0.6429696209587514,0.7440296874354846,0.0,0.6429696209587514,0.11485656922251125,0.5924535405810666,0.3248282345505807,0.08271822486835279,0.07976170568561873,0.02917316982534374,0.011380940583839134,0.01936656137743094,0.0240438808373591,0.5614969055213783,0.49180729650720695,0.48731744278548633,0.47863561348911254,0.0,0.044506482513728886,0.027318685742598787,0.018743651678434288,0.04871572938601924,0.031106569222511253,0.0016255316074156652,0.041218361616912336,43.29761757297989,22.517590190636106,6.637144390767579
mentors_moderate,MENTORS,moderate,0.6889479850530575,0.6429696209587514,0.7439924233040175,0.0,0.6429696209587514,0.11452743713613278,0.5914578456309266,0.3256201927769931,0.08292196159208026,0.10559901317147695,0.03732745984557579,0.01455876584499773,0.024657861596267393,0.03189835459762996,0.743453689264107,0.6502259762831293,0.6438187452925671,0.6379030582655069,0.0,0.03829555307816177,0.022014430818778644,0.016650511994714894,0.04769628184483257,0.031106569222511253,0.0016255316074156652,0.03837715223584789,41.55311945167017,21.14612025115608,6.493816838019736
mentors_high,MENTORS,high,0.6889479850530575,0.6429696209587514,0.7439567591560344,0.0,0.6429696209587514,0.11418695032825468,0.5903913278223853,0.3264671102019003,0.0831415619757144,0.13224611874974193,0.045368409100293154,0.017574786324786325,0.029457502374169043,0.03987819480573104,0.9310646154858604,0.8181244529260349,0.8037191897636418,0.7997422934818335,0.0,0.03232544696312812,0.016997863247863246,0.014621371650357158,0.046701401791981505,0.031106569222511253,0.0016255316074156652,0.035650573929559434,39.932491019447546,19.57565349384024,6.377379330277881
prompts_base,PROMPTS,base,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,48.33498492918783,27.33649975241818,6.686382592179694
prompts_current,PROMPTS,current,0.6914642429497502,0.6460893306907799,0.744195311532268,0.0,0.6460893306907799,0.11236425946570874,0.5954358454649821,0.32269932787094274,0.08186482666407521,0.035273803625252904,0.0,0.0,0.0,0.018379216730666007,0.24745852479325892,0.0,0.0,0.0,0.0,0.062257060572277964,0.04333121722614476,0.024576520500433543,0.0494690635451505,0.031103936991618154,0.0016304347826086958,0.048998255501878696,47.90660225442834,27.471693073608726,6.606744704570791
prompts_moderate,PROMPTS,moderate,0.751293870514885,0.6529255439943846,0.7442954395309468,0.0,0.6529255439943846,0.10568319294768569,0.598868634869395,0.32009617413700114,0.0810351909936039,0.03828306288451216,0.0,0.0,0.0,0.018462828770799786,0.24731661623462206,0.0,0.0,0.0,0.0,0.0622629443825096,0.04256317354143441,0.02417528593253231,0.04956067550270449,0.031085872661959616,0.0016403443577356622,0.048893379165118295,44.20599529295181,27.114730894386415,6.341715182294893
prompts_high,PROMPTS,high,0.9192218402906809,0.6671331392708204,0.7443294004707048,0.0,0.6671331392708204,0.09014353400222966,0.6029024949097344,0.3174687041621527,0.07962880092811295,0.04690129650274578,0.0,0.0,0.0,0.018714232627276107,0.24813322374183788,0.0,0.0,0.0,0.0,0.06217355175688508,0.04047885957306248,0.02289199595359016,0.05038182831661093,0.0310269829472728,0.001628112225938313,0.048218031297741444,37.599611874974194,25.121331360364376,5.578006936702589
prompts_high_shift,PROMPTS,high_shift,0.9259910091250672,0.667376698046988,0.7698997687765804,0.0,0.667376698046988,0.11843098393823032,0.6009100176157316,0.31856877228316,0.08052121010110838,0.04723775754572856,0.0,0.0,0.0,0.018966307444568314,0.24810069576779728,0.0,0.0,0.0,0.0,0.061250051612370446,0.040270552045914364,0.023230831165613773,0.05055963293282134,0.030966028737767867,0.001654899046203394,0.04839516495313597,36.923489822040544,23.888131743023187,5.718960320409596
blood_base,Blood,base,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,48.33498492918783,27.33649975241818,6.686382592179694
blood_current,Blood,current,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,44.618894256575416,24.728131733630914,6.686382592179694
blood_moderate,Blood,moderate,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,40.94925471737066,22.23795277245564,6.686382592179694
blood_high,Blood,high,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,34.02287460258475,17.16641395374112,6.686382592179694
referral_base,Referral,base,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.5938760168391143,0.323703351473115,0.08242063168777068,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,48.33498492918783,27.33649975241818,6.686382592179694
referral_current,Referral,current,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.6184231205864297,0.3077158151020909,0.07386106431147937,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,48.107890499194845,27.099870169963786,6.686382592179694
referral_moderate,Referral,moderate,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.6597215532002397,0.2821314963894922,0.05814695041026814,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,47.75176514306949,26.728762590537126,6.686382592179694
referral_high,Referral,high,0.6889479850530575,0.6429696209587514,0.7440742289111855,0.0,0.6429696209587514,0.11531499029687435,0.7177849071340361,0.24597047410287343,0.03624461876309051,0.035145288822825055,0.0,0.0,0.0,0.01831929476857013,0.24739745188029238,0.0,0.0,0.0,0.0,0.06234552417523432,0.0434350613154961,0.024588081671415005,0.049486714975845406,0.031106569222511253,0.0016255316074156652,0.04904145505594781,47.21499649035881,26.169434378575932,6.686382592179694
