scenario,intervention,level,comparison_baseline,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,-1.7839041661505433,-1.6116375572897312,-0.5844429992980716,-0.07709855898261689,-0.7823093439035471,-5.037367356207945,-0.049238201412114435
mentors_moderate,MENTORS,moderate,overall_no_flags,-2.4049971097072547,-2.1420630496717457,-0.7937569676700111,-0.17904331310128335,-1.0664302820099918,-6.7818654775176626,-0.1925657541599577
mentors_high,MENTORS,high,overall_no_flags,-3.00200772121062,-2.6437198067632854,-0.9966710021057846,-0.2785313183863901,-1.3390881126388372,-8.402493909740286,-0.3090032619018128
prompts_base,PROMPTS,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,-0.008846360295635541,-0.01038440893513376,-0.0011561170981461838,-0.0017651430694903825,-0.004319955406911075,-0.4283826747594901,-0.07963788760890278
prompts_moderate,PROMPTS,moderate,overall_no_flags,-0.00825797927247185,-0.08718877740616915,-0.04127957388826951,0.007396052685908205,-0.014807589082951184,-4.128989636236021,-0.34466740988480105
prompts_high,PROMPTS,high,overall_no_flags,-0.01719724183492366,-0.295620174243362,-0.16960857178248445,0.08951133407655229,-0.08234237582063625,-10.735373054213639,-1.1083756554771051
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,-0.10954725628638737,-0.31645092695817345,-0.13572505058012316,0.10729179569759356,-0.06462901028118362,-11.411495107147289,-0.967422271770098
blood_base,Blood,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-3.7160906726124168,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-7.385730211817176,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-14.312110326603083,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-0.227094429992988,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-0.5832197861183417,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,-1.1199884388290258,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,-0.3649407489987204,0.0,0.0,-0.03604607952434058,-1.0425698831496035,-0.041806020066889715
pulse_high,PULSE,high,overall_no_flags,0.0,-0.6932883273462982,0.0,0.0,-0.08502621908418953,-1.5586935876791017,-0.06270903010033457
fqa_base,FQA,base,overall_no_flags,-1.7011437301292378,-1.5376409017713366,-0.5557258763780503,-0.06330257236054279,-0.7445394112060771,-4.7225318964449485,-0.03261901812626444
fqa_current,FQA,current,overall_no_flags,-1.7018663033155788,-1.538347991246542,-0.555932325859862,-0.06342644204963,-0.7448645691399309,-4.7225318964449485,-0.032825467608076586
fqa_moderate,FQA,moderate,overall_no_flags,-1.758598620917462,-1.587663611214336,-0.5732224699616005,-0.07504438663858831,-0.7713210702341134,-4.975432511664408,-0.04557372310995511
fqa_high,FQA,high,overall_no_flags,-1.8106032453858536,-1.6325818572195383,-0.5883965068747679,-0.08518621743259375,-0.7950988893017881,-5.068334778479716,-0.05785746727775809
