scenario,intervention,level,pph,maternal_sepsis,eclampsia,obstructed_labor,severe_complication,maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
mentors_current,MENTORS,current,4.450648251372889,2.7318685742598787,1.8743651678434288,4.871572938601924,4.121836161691234,43.29761757297989,6.637144390767579
mentors_moderate,MENTORS,moderate,3.829555307816177,2.2014430818778643,1.6650511994714894,4.769628184483257,3.8377152235847887,41.55311945167017,6.493816838019736
mentors_high,MENTORS,high,3.232544696312812,1.6997863247863245,1.4621371650357158,4.6701401791981505,3.5650573929559433,39.932491019447546,6.377379330277881
prompts_base,PROMPTS,base,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
prompts_current,PROMPTS,current,6.2257060572277965,4.333121722614476,2.4576520500433543,4.9469063545150505,4.899825550187869,47.90660225442834,6.606744704570791
prompts_moderate,PROMPTS,moderate,6.22629443825096,4.256317354143441,2.417528593253231,4.956067550270449,4.889337916511829,44.20599529295181,6.341715182294893
prompts_high,PROMPTS,high,6.217355175688509,4.047885957306248,2.289199595359016,5.038182831661093,4.821803129774144,37.599611874974194,5.578006936702589
prompts_high_shift,PROMPTS,high_shift,6.125005161237045,4.027055204591436,2.3230831165613774,5.055963293282134,4.839516495313597,36.923489822040544,5.718960320409596
blood_base,Blood,base,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
blood_current,Blood,current,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,44.618894256575416,6.686382592179694
blood_moderate,Blood,moderate,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,40.94925471737066,6.686382592179694
blood_high,Blood,high,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,34.02287460258475,6.686382592179694
referral_base,Referral,base,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
referral_current,Referral,current,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.107890499194845,6.686382592179694
referral_moderate,Referral,moderate,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,47.75176514306949,6.686382592179694
referral_high,Referral,high,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,47.21499649035881,6.686382592179694
pulse_base,PULSE,base,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
pulse_current,PULSE,current,6.234552417523432,4.34350613154961,2.4588081671415005,4.948671497584541,4.904145505594781,48.33498492918783,6.686382592179694
pulse_moderate,PULSE,moderate,6.234552417523432,3.9785653825508893,2.4588081671415005,4.948671497584541,4.86809942607044,47.29241504603823,6.644576572112804
pulse_high,PULSE,high,6.234552417523432,3.6502178042033115,2.4588081671415005,4.948671497584541,4.819119286510591,46.77629134150873,6.623673562079359
fqa_base,FQA,base,4.533408687394195,2.805865229778273,1.9030822907634501,4.885368925223998,4.159606094388703,43.612453032742884,6.653763574053429
fqa_current,FQA,current,4.532686114207853,2.805158140303068,1.9028758412816384,4.88524505553491,4.1592809364548495,43.612453032742884,6.653557124571617
fqa_moderate,FQA,moderate,4.47595379660597,2.755842520335274,1.8855856971798999,4.873627110945952,4.132824435360667,43.359552417523425,6.640808869069739
fqa_high,FQA,high,4.423949172137578,2.7109242743300714,1.8704116602667327,4.863485280151947,4.109046616292993,43.26665015070812,6.628525124901936
