scenario,intervention,level,anc,initial_l45,final_l45,free_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,68.89479850530576,64.29696209587514,74.40296874354846,0.0,11.485656922251126,59.245354058106656,32.48282345505807,8.271822486835278,56.149690552137834,49.18072965072069,48.73174427854863,47.863561348911254,0.0
mentors_moderate,MENTORS,moderate,68.89479850530576,64.29696209587514,74.39924233040175,0.0,11.452743713613279,59.14578456309266,32.562019277699314,8.292196159208027,74.3453689264107,65.02259762831292,64.3818745292567,63.790305826550686,0.0
mentors_high,MENTORS,high,68.89479850530576,64.29696209587514,74.39567591560345,0.0,11.418695032825468,59.03913278223853,32.646711020190025,8.31415619757144,93.10646154858604,81.81244529260348,80.37191897636417,79.97422934818334,0.0
prompts_base,PROMPTS,base,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,69.14642429497502,64.60893306907799,74.4195311532268,0.0,11.236425946570874,59.54358454649821,32.26993278709428,8.186482666407521,24.74585247932589,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,75.12938705148851,65.29255439943846,74.42954395309468,0.0,10.56831929476857,59.886863486939504,32.00961741370011,8.10351909936039,24.731661623462205,0.0,0.0,0.0,0.0
prompts_high,PROMPTS,high,91.92218402906809,66.71331392708204,74.43294004707049,0.0,9.014353400222966,60.29024949097344,31.746870416215273,7.962880092811295,24.813322374183787,0.0,0.0,0.0,0.0
prompts_high_shift,PROMPTS,high_shift,92.59910091250671,66.7376698046988,76.98997687765804,0.0,11.843098393823032,60.09100176157316,31.856877228315998,8.052121010110838,24.81006957677973,0.0,0.0,0.0,0.0
blood_base,Blood,base,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
blood_current,Blood,current,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
blood_moderate,Blood,moderate,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
blood_high,Blood,high,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
referral_base,Referral,base,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
referral_current,Referral,current,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,61.84231205864297,30.77158151020909,7.386106431147938,24.73974518802924,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,65.97215532002397,28.21314963894922,5.814695041026814,24.73974518802924,0.0,0.0,0.0,0.0
referral_high,Referral,high,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,71.77849071340361,24.59704741028734,3.624461876309051,24.73974518802924,0.0,0.0,0.0,0.0
pulse_base,PULSE,base,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,68.89479850530576,64.29696209587514,74.40742289111854,0.0,11.531499029687435,59.38760168391143,32.3703351473115,8.242063168777069,24.73974518802924,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,68.89479850530576,64.29696209587514,74.4078512737933,0.0,11.500820636690202,59.21913124801749,32.5110996388454,8.269769113137112,24.73974518802924,0.0,0.0,0.0,0.0
pulse_high,PULSE,high,68.89479850530576,64.29696209587514,74.40929125892895,0.0,11.50028386803749,59.291281831607876,32.42863745650683,8.280080711885292,24.73974518802924,0.0,0.0,0.0,0.0
fqa_base,FQA,base,68.89479850530576,64.29696209587514,74.4032474503489,0.0,11.490286551880756,59.26029209950473,32.47090237738437,8.2688055231109,53.67597787433856,47.014769700932334,46.5576930789224,45.879934929040736,0.0
fqa_current,FQA,current,68.89479850530576,64.29696209587514,74.4032474503489,0.0,11.490286551880756,59.26029209950473,32.47090237738437,8.2688055231109,53.67597787433856,47.03062585046,46.56954647342969,45.91350969712957,0.0
fqa_moderate,FQA,moderate,68.89479850530576,64.29696209587514,74.40318551550436,0.0,11.489027210041703,59.25615517778928,32.47413152952099,8.26971329268973,53.67597787433856,48.867096477527944,48.34514804121871,47.51660146660178,0.0
fqa_high,FQA,high,68.89479850530576,64.29696209587514,74.40310809694867,0.0,11.487963995210372,59.25272524847279,32.476889836399515,8.270384915127694,53.67597787433856,50.47089504278739,49.90974726002584,49.06790052878151,0.0
