scenario,intervention,level,run,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
mentors_base,MENTORS,base,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
mentors_current,MENTORS,current,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11674718196457327,0.6045977011494252,0.31662245800176836,0.07877984084880636,0.06635286345431272,0.02509393451422437,0.011612783351913786,0.019540443453486933,0.024433296172426608,0.5562959757680658,0.49561671763506626,0.4908376963350785,0.477547931382442,0.0,0.038595730624716135,0.02843841611957554,0.01879722531896445,0.05930261365043974,0.030616458152690037,0.0017238531731285354,0.047834344935794214,44.386638589537135,22.602275295713103,8.082497212931996
mentors_moderate,MENTORS,moderate,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11645815269003675,0.6036163800744548,0.31740826094664065,0.07897535897890445,0.08841199058590363,0.032619018126264505,0.015039844749989678,0.02533135141830794,0.03223708658491267,0.7412375594980528,0.6514120799835086,0.6557155715571558,0.6400625978090767,0.0,0.03420867913621537,0.023483628556092324,0.016546925967215822,0.05822907634501837,0.030616458152690037,0.0017238531731285354,0.04503695445724431,37.16090672612412,19.373378824896946,7.679920723398984
mentors_high,MENTORS,high,1,0.6915231842768075,0.6439056112969156,0.7437755481233742,0.0,0.6439056112969156,0.11629299310458731,0.6032309604118586,0.31768151961654534,0.07908751997159595,0.1105020851397663,0.04017506916057641,0.018291424088525538,0.030781617738139477,0.04007184441967051,0.9264387710947641,0.813035303948193,0.8135904499540864,0.802475780409042,0.0,0.029429373632272184,0.018859160163507988,0.014410173830463686,0.05721747388414055,0.030616458152690037,0.0017238531731285354,0.04228085387505677,28.90292745365209,10.762988236053857,7.494116189768364
prompts_base,PROMPTS,base,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
prompts_current,PROMPTS,current,1,0.6939386432140056,0.6472294479540857,0.7438994178124613,0.0,0.6472294479540857,0.11396011396011396,0.6072463768115942,0.3138586956521739,0.07889492753623188,0.02905776456501094,0.0,0.0,0.0,0.0184359387257938,0.24273519013537984,0.0,0.0,0.0,0.0,0.05124076138568892,0.04282794500185805,0.024464263594698377,0.06010776662950576,0.030760972789958298,0.0016928857508567653,0.05493620711012016,44.386638589537135,27.96931980765714,8.082497212931996
prompts_moderate,PROMPTS,moderate,1,0.752188364507205,0.6542900202320492,0.7442297369833601,0.0,0.6542900202320492,0.10757050249803873,0.6115535937050187,0.31043086076192306,0.07801554553305824,0.031431933605846646,0.0,0.0,0.0,0.0184359387257938,0.24291982449142402,0.0,0.0,0.0,0.0,0.05253107064701268,0.04178537511870845,0.023834592675172385,0.05970519013997275,0.030957099797679508,0.0017032082249473553,0.055452330814649654,53.676865271068166,35.4735721887194,8.299269168834385
prompts_high,PROMPTS,high,1,0.9188343862256906,0.6678227837648127,0.7443329617242661,0.0,0.6678227837648127,0.09195259919897601,0.6159631791647957,0.3070273911091154,0.07700942972608892,0.03866798794335026,0.0,0.0,0.0,0.018683678103967958,0.2447726084683743,0.0,0.0,0.0,0.0,0.054316858664684754,0.039142821751517405,0.0222655766134027,0.0601697014740493,0.030038399603616994,0.001569016061769685,0.054141376605144724,30.967422271770097,22.557844759060732,6.49283620298113
prompts_high_shift,PROMPTS,high_shift,1,0.9255130269623023,0.6681531029357116,0.768807547793055,0.0,0.6681531029357116,0.11897683636814071,0.6068020128405345,0.31329168835675864,0.07990629880270693,0.03906024195879269,0.0,0.0,0.0,0.01894173995623271,0.2453160453808752,0.0,0.0,0.0,0.0,0.05288203476609274,0.03876089021016557,0.02203848218340972,0.06080969486766588,0.030926132375407738,0.0015380486394979149,0.05386266980469879,40.25764895330113,19.33550320647095,7.587018456583674
blood_base,Blood,base,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
blood_current,Blood,current,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,51.61237045295017,34.44156235537235,8.082497212931996
blood_moderate,Blood,moderate,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,45.41888599859614,30.136367060950803,8.082497212931996
blood_high,Blood,high,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,37.16090672612412,24.754872942923875,8.082497212931996
referral_base,Referral,base,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
referral_current,Referral,current,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6303121142655617,0.2991535884323752,0.07053429730206313,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
referral_moderate,Referral,moderate,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6679597954505379,0.2764062775524599,0.05563392699700229,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
referral_high,Referral,high,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.7275612766707812,0.23708340680655968,0.03535531652265914,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
pulse_base,PULSE,base,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
pulse_current,PULSE,current,1,0.6915231842768075,0.6439056112969156,0.7438271604938271,0.0,0.6439056112969156,0.11707750113547215,0.6057132780814671,0.3157291482983601,0.07855757362017281,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.04270407531277096,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05511168916966019,52.64461786200917,35.51786117897773,8.082497212931996
pulse_moderate,PULSE,moderate,1,0.6915231842768075,0.6439056112969156,0.7438684503901896,0.0,0.6439056112969156,0.11648912011230851,0.6028356225077537,0.3188303057155516,0.07833407177669473,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.03913249927742681,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.05459556546513068,53.676865271068166,33.36526353176696,8.361204013377925
pulse_high,PULSE,high,1,0.6915231842768075,0.6439056112969156,0.7438374829679177,0.0,0.6439056112969156,0.11570461208142367,0.601748594879115,0.3198322776340441,0.07841912748684093,0.02891324992774268,0.0,0.0,0.0,0.018291424088525538,0.2424058848983124,0.0,0.0,0.0,0.0,0.05133366365250423,0.03591188736116272,0.024422973698336018,0.06008712168132458,0.030616458152690037,0.0017238531731285354,0.053460093315165776,47.48338081671415,34.44156235537235,8.330236591106157
fqa_base,FQA,base,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11677814938684504,0.6047025545832229,0.3165384955361089,0.07875894988066826,0.0632664437012263,0.024020397208803005,0.011117304595565465,0.01871464552623973,0.023411371237458192,0.530419731717871,0.47373778501628666,0.46948561464690497,0.45552763819095476,0.0,0.03913249927742681,0.029150666831826252,0.01896238490441389,0.05946777323588918,0.030616458152690037,0.0017238531731285354,0.048164664106693095,44.386638589537135,22.602275295713103,8.020562368388456
fqa_current,FQA,current,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11677814938684504,0.6047025545832229,0.3165384955361089,0.07875894988066826,0.0632664437012263,0.024041042156984185,0.011127627069656055,0.01873529047442091,0.023421693711548786,0.530419731717871,0.47414495114006516,0.4699215344376635,0.45603015075376885,0.0,0.039101531855155046,0.029150666831826252,0.0189520624303233,0.05946777323588918,0.030616458152690037,0.0017238531731285354,0.04813369668442132,44.386638589537135,22.602275295713103,8.020562368388456
fqa_moderate,FQA,moderate,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11676782691275445,0.6046676096181046,0.31656647807637905,0.07876591230551627,0.0632664437012263,0.02490812998059375,0.011571493455551427,0.01944754118667162,0.024247491638795988,0.530419731717871,0.49154613974332856,0.488666085440279,0.473485800452375,0.0,0.038657665469259674,0.02863454312729675,0.01881787026714563,0.0593439035468021,0.030616458152690037,0.0017238531731285354,0.04787563483215657,42.322143771419135,21.525976472107715,8.020562368388456
fqa_high,FQA,high,1,0.6915231842768075,0.6439056112969156,0.743806515545646,0.0,0.6439056112969156,0.11675750443866385,0.6046326584740518,0.3165944655644947,0.07877287596145345,0.0632664437012263,0.025702960485569182,0.011953424996903259,0.020046244683925844,0.02493909740286552,0.530419731717871,0.5075417855686915,0.5047951176983435,0.4883077696756349,0.0,0.03823444403154548,0.02818035426731079,0.018683678103967958,0.059240678805896195,0.030616458152690037,0.0017238531731285354,0.04767950782443536,44.386638589537135,22.602275295713103,8.030884842479045
mentors_base,MENTORS,base,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
mentors_current,MENTORS,current,2,0.6913270572690863,0.6454539824105041,0.7438787728642801,0.0,0.6454539824105041,0.11450720508691523,0.6013702334805733,0.3191201658703687,0.07950960064905796,0.08904166150542962,0.024299104009248937,0.011881167678269128,0.020469466121640034,0.0251661918328585,0.557379167743603,0.47894201424211597,0.4789846025801082,0.4767973070449627,0.0,0.03785251249019365,0.030430653619059417,0.020892687559354226,0.05001238696890871,0.030213881663157024,0.0016619183285849952,0.04810272926214955,48.515628225773156,23.67194981546639,5.677360749824518
mentors_moderate,MENTORS,moderate,2,0.6913270572690863,0.6454539824105041,0.7438478054420083,0.0,0.6454539824105041,0.11409430612329163,0.6001085678096444,0.32018456527639555,0.07970686691396,0.11851232503406417,0.03131838639085016,0.015163714439076758,0.025682315537388003,0.033320946364424626,0.741858361333678,0.6328744263662912,0.6362061498484193,0.6325959827103992,0.0,0.032309343903546804,0.02488748503241257,0.01873529047442091,0.0490936867748462,0.030213881663157024,0.0016619183285849952,0.04501630950906313,47.48338081671415,19.367958939927046,6.069614765266939
mentors_high,MENTORS,high,2,0.6913270572690863,0.6454539824105041,0.7438374829679177,0.0,0.6454539824105041,0.11379495437466453,0.5990566037735849,0.3210268505079826,0.07991654571843251,0.1480965357776952,0.03874024526198439,0.018497873570337338,0.030327428878153515,0.04162021553325901,0.9270483329025588,0.8045016077170418,0.8057553956834532,0.7899973111051358,0.0,0.027179074280523557,0.01935463891985631,0.016691440604484083,0.048185309054874274,0.030213881663157024,0.0016619183285849952,0.041991824600520256,48.515628225773156,20.443956658811885,6.048969817085759
prompts_base,PROMPTS,base,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
prompts_current,PROMPTS,current,2,0.6937941285767373,0.6489429786531236,0.7440955448201825,0.0,0.6489429786531236,0.11187497419381477,0.6062004059789629,0.3147259642000369,0.07907362982100019,0.03891572732152442,0.0,0.0,0.0,0.01914818943804451,0.24267782426778242,0.0,0.0,0.0,0.0,0.052623972913827984,0.0467091952599199,0.026115859449192782,0.05003303191708989,0.029914529914529916,0.0016825632767661753,0.05653619059416161,42.322143771419135,20.433622988901316,6.32767661753169
prompts_moderate,PROMPTS,moderate,2,0.7521780420331144,0.6563648375242578,0.7443329617242661,0.0,0.6563648375242578,0.10496923902721005,0.6085160782771167,0.31389517159996067,0.07758875012292261,0.04213633923778851,0.0,0.0,0.0,0.019199801808497462,0.24225519287833827,0.0,0.0,0.0,0.0,0.05317106404062926,0.045780172591766796,0.026167471819645734,0.04957884305710393,0.029553243321359262,0.001569016061769685,0.05660844791279574,61.934844543540194,32.235880684260295,5.790907964821009
prompts_high,PROMPTS,high,2,0.9189376109665964,0.6705685618729097,0.7443329617242661,0.0,0.6705685618729097,0.08799909162228003,0.6114956011730205,0.3110850439882698,0.07741935483870968,0.051973657046120815,0.0,0.0,0.0,0.019891407572566994,0.24508372274143303,0.0,0.0,0.0,0.0,0.054688467731945994,0.045315661257690244,0.02539328626285148,0.05065238036252529,0.030028077129526404,0.001599983484041455,0.05719682893595937,31.9996696808291,25.768491576924315,5.119947148932656
prompts_high_shift,PROMPTS,high_shift,2,0.9256575415995706,0.6710227507328956,0.771450101160246,0.0,0.6710227507328956,0.11942070275403609,0.6086092142795402,0.3122136744748898,0.07917711124557006,0.05245881332837855,0.0,0.0,0.0,0.019571410875758703,0.24555469655972167,0.0,0.0,0.0,0.0,0.052427845906106774,0.04471695776043602,0.0253726413146703,0.05066270283661588,0.03087452000495479,0.0014864362690449647,0.056195548949172135,39.225401544242125,25.769598316386244,4.758660555762004
blood_base,Blood,base,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
blood_current,Blood,current,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,44.386638589537135,25.823945253236065,6.203806928444609
blood_moderate,Blood,moderate,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,36.128659317065114,20.443956658811885,6.203806928444609
blood_high,Blood,high,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,30.967422271770097,17.215963502157376,6.203806928444609
referral_base,Referral,base,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
referral_current,Referral,current,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6279946164199193,0.3006729475100942,0.07133243606998654,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
referral_moderate,Referral,moderate,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6657694033198743,0.2779721848362494,0.05625841184387618,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,46.45113340765514,26.8999429721209,6.203806928444609
referral_high,Referral,high,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.7259757738896366,0.23849259757738897,0.03553162853297443,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,44.386638589537135,24.747947534351226,6.203806928444609
pulse_base,PULSE,base,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
pulse_current,PULSE,current,2,0.6913270572690863,0.6454539824105041,0.7439303852347331,0.0,0.6454539824105041,0.11504397373962591,0.6030506953790937,0.31781067743382685,0.07913862718707941,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.046172426607209216,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05662909286097692,47.48338081671415,27.975940691005732,6.203806928444609
pulse_moderate,PULSE,moderate,2,0.6913270572690863,0.6454539824105041,0.7440129650274577,0.0,0.6454539824105041,0.11435236797555638,0.6015526268279473,0.31964253475356563,0.0788048384184871,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.042291176349147364,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.05548329823692143,49.54787563483216,23.67194981546639,6.26574177298815
pulse_high,PULSE,high,2,0.6913270572690863,0.6454539824105041,0.7440645773979108,0.0,0.6454539824105041,0.11492010405053883,0.6046887631366209,0.3177041228779305,0.07760711398544867,0.03876089021016557,0.0,0.0,0.0,0.0191585119121351,0.24263375549237529,0.0,0.0,0.0,0.0,0.05233494363929147,0.038791857632437345,0.026260374086461043,0.05055947809570998,0.030213881663157024,0.0016619183285849952,0.055276848755109624,44.386638589537135,32.27993156654508,5.790907964821009
